iso,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ALB,22.146129157368097,22.180751521048084,23.264351035322484,24.394813516425366,25.817357216730986,26.203483281363493,26.411907606584553,26.778261277714513,27.09790248862568,27.035768955273785,27.58642601702977,28.85362174546954,28.654344040532248,28.12124252182367,28.77217842577223,29.34888063439399,30.90543883118077,31.898365581241396,32.54653866053039,33.476987420941875,34.28810605390474,34.33770088349634,34.7283410113209,35.718876291094304,36.25486945659746,36.361679398773624,37.227739787323415,37.53083460137661,38.17695849934651,38.71373427748945
AND,64.523473200147,65.58296308486446,66.48421058330612,67.44562115852769,68.13492275379379,68.84759546984792,69.43273439454097,70.0516338504474,70.48945658317552,70.9078678642339,71.31257205647542,72.08327795005255,73.02127381727105,74.07037816476043,75.062950764554,76.18793589696432,76.72706321265004,77.85970279262224,78.47755972310607,78.7537776002158,79.35202206851672,79.63624839684114,80.0325748857143,80.60228414954936,81.23248880353131,81.87591495509477,83.37997231006734,84.73579750874016,85.00243690242989,85.17035237255342
AUT,49.724784037798216,50.095623770439566,50.69596221332533,51.32233997336029,52.22073544988516,52.9316994936423,53.677728661802504,54.8034510393405,55.84160246683868,56.926446503396505,58.08664363215318,59.1729784399029,59.878871564781555,60.59718210902869,62.13669442153353,63.202401336773,64.46360170353765,65.37851352830424,66.19767095829785,66.80564027240446,67.7313423207792,68.57168309012263,69.57782083689348,70.6365252999662,71.80269019194351,72.62408088461967,74.46864142507133,75.96922784036235,76.35049833914483,76.51900941798743
BLR,27.649430159682158,27.375568686277134,27.209458716811017,25.95379655880377,26.252503147640493,25.807076333520612,26.429001847833547,26.789819358411123,26.9518340877144,26.92346814237929,28.303327658849334,27.82272741510476,27.35189577059428,28.473939500929585,29.56135113374288,29.732819333316492,31.166753909936627,33.03871242672895,33.98845141881388,34.4896285454074,34.70840669101634,35.434549349951126,38.93566170581997,40.51555053593737,42.124828894102656,43.84369317616326,45.70642883296887,47.17499157062718,47.374232364880825,47.73222440609943
BEL,49.97840018011001,50.90098124525821,52.124042883349475,52.45397174630084,53.29300008209973,53.91958213695923,54.97845043904227,55.97564323288296,56.778226364859705,57.803343121237305,58.79031443259858,60.11564091278792,60.57264876702288,61.64092561312933,63.36067480576663,64.43085872465173,65.66960490996554,66.23049628569095,66.82874519203679,67.19215194965521,67.89991163654898,69.08515715716509,70.35824058649615,71.88985132891465,73.84381190941615,75.03395886192044,75.82689575527753,76.14518081827329,76.30001955408629,76.54909089582803
BIH,20.701281003089207,19.493035866380033,19.528817687852943,19.315834353843044,19.397268034450967,19.631273040575206,20.226158516393674,20.330634326887846,21.13682006791324,21.178787001116945,21.03157896423348,20.920145598808936,20.54873648489532,21.001241793558528,21.821070015753808,21.694369503151588,22.540591536005735,22.224586013330285,23.568193069757505,24.1163612328515,24.850554333158705,24.858648009498864,25.40335465971202,25.952509478578676,26.457964406656647,26.162797411841574,27.325409230326272,27.974258152203237,28.205042410209394,28.50764528023059
BGR,14.842400528180026,15.154245369152596,14.78807447258924,14.293472364596218,14.283741869153909,14.452282595208603,14.659131612782158,14.679147618228074,15.277307960634202,16.248235690618426,17.259145082354888,17.88546825552546,18.070719046366722,18.66424726210015,19.672653472909886,20.45654039268787,21.100911536962343,22.083149314751957,22.867098842270362,23.681855565263483,24.395117495782607,25.1405101671435,26.138542110474596,27.254973013716725,27.54011566910473,28.15737318629998,28.75553429271664,29.103460623968235,29.339867421480985,29.626322277860105
HRV,24.757151512741284,25.527124744973936,25.908341585210067,26.234902327276032,26.80291507368765,27.25292346909723,27.577064826472537,27.792004166967338,28.81529283721035,29.631345806236176,30.9694635126094,31.759144104398843,32.16809887021761,32.48652649003178,34.052253325378146,34.50328457076494,35.776645165866064,36.2048436815441,36.7872199311495,38.378539560386386,39.69681572197539,40.25671673236797,41.07781678243731,42.63354465797463,43.417370030989844,43.14074620939514,45.31128150682618,46.024610518882234,46.49290954424405,46.70399350004745
CYP,41.5875226497441,41.43856808728593,41.52407947544444,41.94081417847019,42.86227276004088,43.77125616427804,44.88681694367679,45.817748148956824,46.698413275560824,47.66400271096617,48.8985752735568,50.21550441134282,51.35487160638159,52.58529950574558,53.785878235475664,54.9292227092545,55.566941900440405,56.404360873549905,57.552193569125485,58.71985886752934,59.46817097405713,60.97852709166986,61.78277944677906,62.90058646693738,63.96033998587221,64.5649355920558,65.95316341110933,67.91873948623514,68.4178106548963,68.20960628996198
CZE,27.910770745623132,29.346203940750456,30.476741077933244,31.921286661086505,32.9342100091133,33.702826440926906,35.38610787533596,36.41212066334311,38.20052365748237,39.346692201897646,40.28102731789665,40.99481877681417,41.69908902650282,41.887558863892004,43.509062912307115,44.19310809907686,45.51182120143545,46.39010833442056,46.838144804526074,47.49354950827158,48.14538391996448,48.750624126737485,49.63188194768763,50.581203082464,51.779065017308305,52.409934131896456,53.402817957303085,54.2389363182679,54.34829676371868,54.76465896231888
DNK,54.06571371327279,54.98014795868813,55.84092475511482,56.45173649774613,57.29360174152044,58.08205780712563,59.11780432166774,60.33601714245368,61.51385373653188,62.2110997498417,63.735506033726445,64.73082370732351,65.53186207369878,66.70294323346431,68.50941413896699,69.72524486278313,70.37870660196113,71.03760082402148,71.96304128845962,72.61110569525268,73.29938110128124,74.55329310091183,76.07973365057106,77.79696760726752,79.35639131474784,80.65821590840919,80.76532909333002,81.12275113264269,81.2195837841932,82.20994685494964
EST,37.568264286703624,37.23327789163195,37.75729205991029,36.88859111153536,36.1252112768559,37.687070139397946,41.015144959651124,42.26316848410775,42.53928013642445,44.7399985691954,45.58730999612016,45.597511591326274,46.80726697367502,48.18528975101761,49.66593638863564,50.922611356219306,51.74114549127242,52.710458034451754,55.33940609225648,56.87565291825973,58.826145234114264,60.20885771492581,62.47464850824172,65.59045798741275,68.04506298174384,71.60683306603477,74.24086442958345,76.70753610183966,76.43643099669912,76.17502560620588
FIN,64.6929236360663,65.87853330935604,67.02458406897819,68.29798068037368,70.18634715220524,71.06810701894267,72.32938690771763,73.3941676539543,74.63438697742332,75.95699618506826,77.2564672305515,78.77035259588962,79.95181241226967,81.07634623470175,82.48861981285678,83.56674981090384,84.74388359028626,85.61292017685305,86.46657967162385,87.02521615839743,87.67620598195514,89.40937047989894,91.83740226865487,94.81423612738942,94.91900313297221,95.46353860667638,95.76108520238684,96.47447707408773,95.84262997086769,96.09853166133162
FRA,58.72311304761678,59.70823121030871,60.83604501555068,61.61112454276747,62.49112874694336,63.04933319735216,63.66252145783487,64.49644526375698,64.90879095784584,65.74367655991905,66.65623056164914,67.44456676211688,67.9473885991311,68.80935670043657,70.52608884811767,71.53237999631007,72.38360474174839,73.26055382651312,73.85252387826871,74.16117958774892,74.87187678652269,75.70587843349979,76.8381520765808,78.20287239060987,79.74946227418678,80.64828414522172,82.52083163160532,83.36658666580246,83.58120440731498,83.76475095346017
DEU,53.62260603089363,54.457769843846954,55.55375963234902,56.21984223227094,57.212955749187564,58.22674550685783,59.30086624007672,60.53814830420823,61.707790289875966,62.92584274682991,64.05488083094247,65.14693559552309,65.62972585890071,66.42440013983858,68.07861743245664,69.05801286596514,69.80598359233002,70.03738436464012,70.02320189335309,69.9248065394671,70.20664345665617,70.85287439456751,71.87804768756135,72.87369424450455,74.03719978853931,74.72993150019988,75.7505155874854,76.6466797915762,76.78262979234968,77.00131366499313
GRC,41.97750878731127,42.666719786208965,43.11343074730834,43.85539776134753,44.38766898508887,44.916658434670815,45.51220064583045,45.93358680440401,46.18654089437592,46.51227420288271,47.27272843700423,48.003580956751314,48.67174587943846,49.55065021757445,50.64844684925869,51.68196102082057,52.30313498517416,52.097020934213454,53.384657948220216,54.037151567173886,54.71090500120529,55.36140880345798,56.00765092163665,57.68446160282499,59.17445484610033,60.025453782518056,61.281500489428126,62.15465388253282,62.54918570139936,62.8789930666469
HUN,18.415639506414013,18.539056554930546,18.2061557442349,18.376596670416372,19.293555910484635,20.05371554240875,21.671799828447735,22.589627957701268,23.132492489173988,23.93220619260447,25.683001966653414,26.780049969151047,27.044548631452493,27.27895098085573,28.477837670627327,28.564719710706047,29.480059438805405,29.80878694849634,30.697269764348412,31.215967621891686,32.18192883312595,32.808331526670656,33.473731588682504,34.864286967106125,35.6906233044385,36.01336538603524,37.59434169776358,38.19429749176973,38.442099517097105,39.227218989237954
ISL,76.04433020933412,77.04852396975114,77.86716483656451,79.10014165213195,80.01362095731417,80.64013761386805,81.56556437215345,82.4405876771658,83.44602044638206,84.34353205421925,85.36851324491616,86.25076720188491,87.14248840284485,88.49946595319075,90.32150210105394,91.47530559644058,92.33466496414816,93.01558960044781,93.85273164254575,94.73294152260621,95.27827551591275,95.79119417256936,95.5469948163532,95.83573321536235,95.81507813395433,96.26098180643636,96.26539871867277,96.84790447365133,96.50499259118929,96.56519009156159
