iso,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ALB,43.127101421762376,43.127101421762376,43.127101421762376,43.127101421762376,43.127101421762376,43.127101421762376,43.127101421762376,43.127101421762376,43.127101421762376,43.127101421762376,43.127101421762376,43.127101421762376,43.127101421762376,43.127101421762376,48.34959668848261,47.15963085070489,48.82503342770049,42.18554433006166,52.12321674034987,54.41844711186077,54.65016104573333,50.62065015186038,47.633348703626496,56.37520843543348,57.86082006809276,54.59504444433545,58.96826927702353,56.87268037967883,60.25455416395879,61.48496884875725
AND,42.52176203872738,42.52176203872738,42.52176203872738,42.52176203872738,42.52176203872738,42.52176203872738,42.52176203872738,42.52176203872738,42.52176203872738,42.52176203872738,42.52176203872738,42.52176203872738,42.52176203872738,42.52176203872738,46.26267815833587,47.00805223971661,47.61600333120734,48.40357354532058,50.84589203305051,53.0500025177712,53.16703846919082,53.762828014054996,53.14201397145785,55.03615062690472,56.18623579754966,55.06824110094283,56.1768232389871,56.02484722235606,57.650261500848266,58.53573280075324
AUT,32.07578333904068,32.07578333904068,32.07578333904068,32.07578333904068,32.07578333904068,32.07578333904068,32.07578333904068,32.07578333904068,32.07578333904068,32.07578333904068,32.07578333904068,32.07578333904068,32.07578333904068,32.07578333904068,37.122102828321566,37.2262298068232,37.83816634294844,41.33141587493569,42.595785699145374,43.53789721405559,42.446594906285924,44.498176590611585,46.3398128201055,45.94852065323944,46.489457032133544,45.807266001776185,48.62141496709172,49.623316568745004,50.910134282342476,52.91961324287748
BLR,50.502506011461975,50.502506011461975,50.502506011461975,50.502506011461975,50.502506011461975,50.502506011461975,50.502506011461975,50.502506011461975,50.502506011461975,50.502506011461975,50.502506011461975,50.502506011461975,50.502506011461975,50.502506011461975,53.63347835690407,53.908207020083275,53.25541905236896,55.84089765616172,58.19741415560441,58.70002423000249,54.29421248965257,59.17765096738691,58.25504278961052,59.09650336772595,59.24963983923179,59.054743770619936,60.193506996417646,62.0655353345015,61.643633093899595,62.27931813337011
BEL,23.698816380194327,23.698816380194327,23.698816380194327,23.698816380194327,23.698816380194327,23.698816380194327,23.698816380194327,23.698816380194327,23.698816380194327,23.698816380194327,23.698816380194327,23.698816380194327,23.698816380194327,23.698816380194327,30.143061106909354,32.06352747405879,34.45394829625744,36.23488531692623,39.039781223466406,40.67944086326539,39.445007953618244,41.74463156904981,43.54912406008555,43.229754387963354,45.67988798987847,47.803108816303144,47.62235951734208,48.74156377549782,51.45060860000008,54.29801294679294
BIH,38.57956391536397,38.57956391536397,38.57956391536397,38.57956391536397,38.57956391536397,38.57956391536397,38.57956391536397,38.57956391536397,38.57956391536397,38.57956391536397,38.57956391536397,38.57956391536397,38.57956391536397,38.57956391536397,43.651236664464214,42.04608748218231,44.73030594538378,44.90801757280095,48.21432797198476,49.48948438409112,50.10999977276299,48.641059527435445,47.91410385816883,52.58331624802391,53.56073561707332,51.32172906426633,54.040999799787116,52.42810330774864,55.80151710722605,57.04644073476051
BGR,38.143729619436165,38.143729619436165,38.143729619436165,38.143729619436165,38.143729619436165,38.143729619436165,38.143729619436165,38.143729619436165,38.143729619436165,38.143729619436165,38.143729619436165,38.143729619436165,38.143729619436165,38.143729619436165,40.24972178818945,40.686199002657716,41.372549169746655,43.63560568608351,45.11775434994168,47.28767045948674,46.57040536105461,46.34156869324574,47.27973021677802,49.69691622767423,51.08779078260771,49.89463929383036,51.17778560518481,51.58854892804676,53.5929526354104,53.69209145532705
HRV,29.8565593304224,29.8565593304224,29.8565593304224,29.8565593304224,29.8565593304224,29.8565593304224,29.8565593304224,29.8565593304224,29.8565593304224,29.8565593304224,29.8565593304224,29.8565593304224,29.8565593304224,29.8565593304224,34.36339096488078,33.10417611000899,36.209924081090584,37.02260573578802,39.4908604564319,42.32927107784163,42.367294127514334,40.544269488159195,42.41167259419533,44.27033033971585,46.244663952627505,42.32433221781001,45.46161931346101,46.24079417881977,48.629410186056276,50.329415042742674
CYP,52.14646472993335,52.14646472993335,52.14646472993335,52.14646472993335,52.14646472993335,52.14646472993335,52.14646472993335,52.14646472993335,52.14646472993335,52.14646472993335,52.14646472993335,52.14646472993335,52.14646472993335,52.14646472993335,56.302630449794776,56.12966218978085,58.06096497154301,57.34742940442873,59.133231022978826,61.92783014047015,57.79570878685468,61.93937553553178,60.04520720990734,59.61680727975139,63.770539224792834,62.05733959300631,61.37398862191598,64.34638352640194,65.9727362953724,67.25192448861198
CZE,27.51186734702497,27.51186734702497,27.51186734702497,27.51186734702497,27.51186734702497,27.51186734702497,27.51186734702497,27.51186734702497,27.51186734702497,27.51186734702497,27.51186734702497,27.51186734702497,27.51186734702497,27.51186734702497,32.87990618683425,31.014796747688404,31.26045569393274,37.416741416082324,38.00344352393013,37.91313316189509,36.42686327604821,39.25942901880515,41.8709796870723,41.735746214922585,41.335194901297925,42.82415867738127,43.86952565872156,45.20186270605476,47.554376493160134,48.260600041142084
