iso,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ALB,14.843047149833852,14.680553300362092,15.144219096723527,15.695814984716689,16.41576286726767,16.621907852719907,16.935617178320026,17.700712246408756,18.50636603938706,19.04885254131594,19.874630892383014,21.07456427662834,21.606653818674395,21.974616335854265,22.788233138169424,23.773623092049203,25.1459040006265,26.610860346349654,27.602883002334494,28.81324831660763,29.78401632691316,30.373371137953846,31.004251857050104,31.53843790270261,31.98514761998976,32.44629894964012,33.01159067131875,33.536819732775704,34.03440176804786,34.49017110155981
AND,84.71285127745226,85.72518203660415,86.66734893729911,87.75434157529038,88.73473802594904,89.80681185052725,90.75725419823772,91.7699757482986,92.68943024117875,93.62495016988794,94.45750584394388,95.34030618353,96.2737406860483,97.14404092932472,97.88992978964039,98.64152654966209,99.34543864658042,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
AUT,73.76584934820445,74.4789178590893,75.26643835127867,76.0747534410561,76.92392820371687,77.68101677813448,78.33791327538162,79.17314615482076,79.89001622324152,80.68858893431319,81.58707751896603,82.56680462933473,83.43590812703674,84.24040696237589,85.27107835959559,86.16818860706066,87.18355322744644,88.08631487536577,89.01287361917794,89.69954038267063,90.46044108726015,91.1253016349531,91.71910340739146,92.2460505179944,92.7793244249485,93.25868024799537,93.92026799422135,94.60638978751317,95.1816953713233,95.69076862001981
BLR,43.20484361754739,43.58656198550399,43.9432048963474,43.77201993651294,44.30515437548231,44.555355146484075,45.24270072654032,45.654010233488364,46.02536317391406,46.33595434702926,47.4959831499406,47.73917790758726,47.98214797447643,49.113955948842424,50.22071023110255,51.05720276430238,52.67844122572421,54.728535592190894,56.468691067135914,58.09950133693784,59.49073892617376,60.56121934362657,62.991286130415624,64.3196918235251,65.56645714259727,66.87999797979342,67.79395084226269,68.51027792547899,69.36537100988164,70.10676253070785
BEL,77.57683722106722,78.63561001699154,79.62372084318939,80.57996180349167,81.58600111164823,82.521295586897,83.44127801965236,84.27162552342992,85.04260977000669,85.84768156237504,86.73829467117515,87.72266039602418,88.5998410349368,89.57377227331106,90.74458199234292,91.72158171167852,92.82134518833772,93.76709487258188,94.73750866031678,95.6774484579568,96.60276164711846,97.41417186821208,98.1309494200832,98.90489989914245,99.78029943063483,100.0,100.0,100.0,100.0,100.0
BIH,16.895138728974167,16.267933449947385,16.23080919168755,16.243831751927058,16.373122626569963,16.6059963566846,17.39934666068517,18.545826985985236,20.323268929624277,21.65766500709408,22.54221419158211,23.14099285118402,23.64359981879272,24.52117933037897,25.304168088910362,25.77584485937163,26.6030806428309,26.89463059340809,28.042908722794863,28.685585157381276,29.35524035007849,29.949018431945746,30.673031931487316,31.094404797322532,31.523615447537097,31.643772121870896,32.123853588062545,32.54093979649623,32.886302385661764,33.37630707351021
BGR,25.610092272468364,26.31638238349789,26.721382728038762,27.047505324016168,27.232982739636668,27.643330778453784,27.819612227957112,27.686177265516932,28.338417606421512,28.96177361258217,29.357104672458266,29.83792940672052,30.292993302692057,30.791958122395748,31.245786814548772,31.62401336514147,32.06469512151773,32.76617486825047,33.44775652202582,33.98477895570093,34.47927646071325,35.0512040574132,35.70969746572,36.23522687717987,36.235779745851445,36.68636983681557,37.01967111097408,37.35897161014532,37.63454709593299,38.034855339555904
HRV,35.722215488627604,36.512628076645335,37.09965350931075,37.753991592455016,38.469882025044534,39.14887299145053,39.70911954122039,40.27991810954231,41.24490552724024,42.17300315414433,43.31317279268237,44.24068677372829,45.056117603261825,45.79126591031063,46.95736928086742,47.64369229974634,48.62685655818731,49.205335132557316,49.88027209090517,50.952347751711756,51.810948324658476,52.650579761642376,53.44986900573082,54.39691206728007,54.97401850665052,55.220755558958246,56.32658672279668,56.82816997195144,57.41636594880512,58.0037336330593
CYP,62.091885933253046,63.280231209871175,64.55294965684728,65.96968562503133,67.55992417924197,69.06611082739119,70.57527359569318,71.95097895427115,73.21916764841822,74.56448020208586,76.1459118846047,77.77476252699074,79.31086368850198,80.85894233780446,82.31777096490256,83.65973131122149,84.98374794865795,86.39111973452597,87.96335733804776,89.40682282123542,90.65045570300315,91.71348760326768,92.60585182575005,93.3266457000998,93.89892987176593,94.49582645376019,95.21243126927124,95.82050402080408,96.39186866865082,96.9643415899327
CZE,51.66824619392434,53.097058226970496,54.39388971235909,55.83280795925898,56.994519336004466,57.87456063090753,59.12238084087811,59.887976613622584,61.04183606262389,61.88550878762703,62.62178032934702,63.348479299094585,64.1520232795584,64.61883275281612,65.58547901062629,66.26651614004456,67.16946743827276,67.79379213914838,68.33297623199192,68.92911613755956,69.48327786902327,69.93807324158891,70.43167756909463,70.9139503768039,71.557383214654,71.92329033919668,72.45458711690267,72.99627828760833,73.43318007245789,74.01757382369317
DNK,83.18602375974565,84.0441870320617,84.80047857670321,85.57951707922051,86.40749688490973,87.28470397530499,88.26011548556248,89.31111600660607,90.40974726128272,91.14554197525591,92.25440693625082,93.02452587074069,93.79463680054108,94.68792160093304,95.6245392322145,96.57724899029657,97.34304188141434,98.0199885981892,98.84445368003256,99.58990605391224,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
