iso,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ALB,23.213968802120363,24.897826523154148,26.326596216432378,27.27249942416636,28.566323694283973,29.887189293550666,31.85876251479686,32.17564399061849,34.95450679121055,38.108860047056076,41.92408201325289,43.17464736858915,40.31262766165564,38.05259519761456,37.75938721197789,39.68504649847995,42.431441073292156,43.583706804568465,45.2069845063178,47.293300046124486,51.025583901206986,51.93483577463732,51.89205612224047,51.94617085399813,52.38751251733462,55.89588238975725,57.9074687035978,60.20525176638488,61.540788964331114,63.74463526178551
AND,37.195198030254694,37.554581260331155,38.506548059851184,37.719113349329966,36.01626486165873,33.77491703673495,34.48952864884065,36.057567233713655,37.24728714513358,36.627188668109014,36.088125147383415,36.62609058504812,35.413903609883484,36.049896412199146,35.39814844237147,35.36399098494903,35.17705869909214,36.6407758226287,37.529224610389925,37.194493515588114,36.8144271715271,36.87005310650203,36.92849409847018,36.764132772759005,37.328120643557924,38.32294085422984,40.13326408149118,41.36379159132623,39.87544495584297,40.34736760785487
AUT,46.26914052972085,45.306913998313775,45.00049438837653,43.88168171582442,45.09042472719303,45.46913006891095,46.43678683206293,45.95910402612386,45.84389385376363,44.41244968222209,44.2016757564711,42.83792300661373,39.934608248379085,39.4362743523336,40.19251966037983,42.98806191089125,42.723098547308695,43.38522839629498,44.778332537259224,45.96188270545644,45.88445194019921,45.6252340844096,44.77436959027349,44.55644765274303,43.79910107867485,44.23410848431716,44.48528995083938,45.91242558116124,44.847369511662336,44.94666878576895
BLR,32.98403417331126,31.32472906789992,32.2042474355599,31.33170128211717,33.50367793890851,31.15610972029412,31.703593198998142,34.72879206548052,36.08173521354768,36.25175073285603,35.949654807983286,35.50539740116427,36.209422988022204,38.48237625823705,40.787319850684334,42.02149764581515,44.72856132285399,47.70728137329434,50.74845615126969,52.11621925624158,53.38931495945541,52.442646603891106,55.703526703174745,57.89733681473277,59.977862991851836,59.20415960496498,61.76710599870954,65.45282863969454,61.78266555726445,62.11459199206506
BEL,47.14217273599813,47.085871129666394,53.56039819548584,46.03959568029765,44.366587183675584,40.86698574388319,42.65930657115812,44.174576108021874,43.34497661753082,45.78398633448536,45.35201554989103,48.5567737637343,40.56543909000445,40.4240309220923,40.3579922171835,43.04958483949439,45.74807153102197,46.655675431155444,49.36964161030034,48.75746983788227,49.20055886252559,50.95708513662974,49.283960509829654,47.307140526642144,46.463562058864326,48.35302700176921,50.49941304497303,52.03862666103362,48.83678560374658,48.60055670442116
BIH,28.237713424061567,27.443441947790397,28.431915060049466,26.6961160446482,26.951528409439902,27.41483742388307,29.88287380242373,30.565208389269344,33.349369995857444,35.13534379822256,37.16518149899336,37.45794444819311,35.07578127235671,35.21846713199909,35.82351559391411,38.50253503250905,39.28866329263328,39.95731097295771,41.81669982431156,43.10442414477291,42.87029605061098,41.44425708498335,40.42709675919796,40.23960202453939,40.665248528990624,43.6342679573946,44.70600152986268,46.76267320822836,43.509937452199765,43.53007953228446
BGR,27.6571766111083,28.636399616509493,28.390915625577414,27.270056484278726,27.150073689310233,27.360214877713386,29.691249323751563,30.869937509971308,36.70842105767775,43.30980424117378,51.999584915559126,50.94052247686952,41.4894526530066,37.70919287896482,38.71643494309348,44.19612523233685,43.00683827045502,41.36377333359936,40.02362323488679,41.05622283897704,42.336939571547035,42.75505867651632,42.04370291955531,41.27713660858612,42.58256780275183,45.02894526461688,47.664407853772786,48.763802307211314,47.549355013417156,48.591425486335154
HRV,39.60192334098382,40.200875123019635,40.791502504624255,39.21145330953389,39.340328949571145,39.44938447985868,40.74848191049805,40.345502898810615,41.284912998743756,40.505463303923115,42.19741296081502,42.44941754896347,40.16325691777357,39.221551150127716,39.2133030596913,41.34619490228034,41.48537435306465,40.731561754217026,40.91258501728876,41.45540089480219,41.87243695827064,40.50150990075507,39.67649579882643,40.233605202953484,40.40921708331084,40.93182893226839,41.66894780307491,42.65933634511205,41.627595835203245,41.645527172138515
CYP,25.142477167287712,24.269325782702772,24.153155055279736,24.200407217637483,25.792531195666896,26.62624710454631,28.046945339827577,29.091793758476907,31.37596610488722,32.17039448938003,31.77305512774158,31.355499594689658,31.2049688316449,32.50942484203143,32.806611136928545,34.80289092828187,34.68703723239137,36.59687588690717,35.63142225359646,37.27398301863984,35.979096240766545,37.091524735513445,36.20586087779886,35.800559514290164,35.760649061458835,35.409893546088576,36.675328132369565,37.31602056526792,36.62357468138013,36.54340617936704
CZE,40.48721965473614,41.865403487770415,43.44285002298067,43.6554116158175,44.39102670254262,45.399093039948326,48.06513793367127,49.05870670440857,49.272803859668514,48.271740883809905,48.7590041802681,47.47807581764798,44.48933297883876,42.821428376653834,43.01136744138136,44.26676739049212,44.58149024710279,45.08382898768129,46.367234747679426,46.93171326194132,46.89521376898922,45.71402832095469,44.20177948350344,43.00801433951942,42.03119219576513,41.82332236666183,42.560321612561864,44.133845118823366,42.92542405462048,43.4160812607286
