iso,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ALB,24.175696561795835,24.175696561795835,24.175696561795835,24.175696561795835,24.175696561795835,24.175696561795835,24.175696561795835,24.175696561795835,24.175696561795835,24.175696561795835,24.175696561795835,24.175696561795835,24.175696561795835,24.175696561795835,26.265273698423236,26.160766570157595,27.54480659819331,29.50120878981137,31.153864309577635,33.56828889996486,36.725324255528065,35.123451506769634,36.85952590336847,38.448568609412305,40.32568638109834,39.856376032152404,41.95361151839116,41.824308916546045,41.66326251201522,43.26106146899232
AND,40.081911092110666,40.081911092110666,40.081911092110666,40.081911092110666,40.081911092110666,40.081911092110666,40.081911092110666,40.081911092110666,40.081911092110666,40.081911092110666,40.081911092110666,40.081911092110666,40.081911092110666,40.081911092110666,41.82925162846053,42.9833652476406,43.91045046863641,46.625235353521944,48.118006784796016,50.119781825133835,53.351285053974486,53.778528123913475,55.09868973308332,57.13106290852633,57.59838428235664,58.841692502261445,60.33841078628812,61.79177181638238,64.3070630361458,65.30316738058674
AUT,41.546310350161995,41.546310350161995,41.546310350161995,41.546310350161995,41.546310350161995,41.546310350161995,41.546310350161995,41.546310350161995,41.546310350161995,41.546310350161995,41.546310350161995,41.546310350161995,41.546310350161995,41.546310350161995,43.887360056576064,43.38662466911206,44.956726499909195,47.30811226052913,47.82918447747763,49.64913576136835,51.602257992603285,52.1975164465681,53.70609980891155,54.4490478060756,54.79981274339127,55.37457301697531,56.973659319807,58.47187435904024,57.682071664064935,59.897752062797316
BLR,45.70777284192452,45.70777284192452,45.70777284192452,45.70777284192452,45.70777284192452,45.70777284192452,45.70777284192452,45.70777284192452,45.70777284192452,45.70777284192452,45.70777284192452,45.70777284192452,45.70777284192452,45.70777284192452,45.42994358391855,45.59374996013013,46.38887694518017,46.69712931740811,47.488955067689595,47.38951397635778,46.77348988429467,47.76962831259999,48.12290481327668,47.77968535664483,48.25463575203748,48.90296907945855,49.26751114419305,49.710462803972746,49.542043465216594,50.10533045902681
BEL,26.280484998268072,26.280484998268072,26.280484998268072,26.280484998268072,26.280484998268072,26.280484998268072,26.280484998268072,26.280484998268072,26.280484998268072,26.280484998268072,26.280484998268072,26.280484998268072,26.280484998268072,26.280484998268072,28.512082510975244,30.17137565165961,32.38746527307591,33.59523675904354,35.603276563355664,37.22204903393907,39.26282126630904,40.626819782457424,42.18813382440876,43.10296209538568,44.23019682092676,46.022063812389,47.102397265925724,47.945878515543534,49.41394295493797,52.496555935182286
BIH,10.8382338232057,10.8382338232057,10.8382338232057,10.8382338232057,10.8382338232057,10.8382338232057,10.8382338232057,10.8382338232057,10.8382338232057,10.8382338232057,10.8382338232057,10.8382338232057,10.8382338232057,10.8382338232057,11.676517199830402,10.968406288224136,12.72981500857111,15.185514904585643,17.275984430764257,20.309745702385758,23.538302089481082,23.361051988677428,24.63673366801376,26.05751834648174,26.613132162626414,27.266296009415512,28.345695485694804,29.19709395171565,29.64459742373079,30.931566868519116
BGR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8522776617148792,2.9609616788342326,4.948405847824041,7.160236558791391,10.470967090714902,10.32249450147919,10.915056442242086,11.69764831639674,12.986997105355485,12.846835852996222,13.813221476284998,13.698220098217403,15.128648672654343,15.4336522165468
HRV,20.652402969816944,20.652402969816944,20.652402969816944,20.652402969816944,20.652402969816944,20.652402969816944,20.652402969816944,20.652402969816944,20.652402969816944,20.652402969816944,20.652402969816944,20.652402969816944,20.652402969816944,20.652402969816944,21.628931240897526,21.335423911477637,22.914589544685445,25.125606406928842,26.836183980803867,29.79160545155747,32.52911134623957,32.55468503551272,33.981160757989535,35.1608762528805,35.723922698707,36.42251225822391,37.49798087550909,38.57680842503368,39.06850391512264,40.43663422110907
CYP,21.212345874753435,21.212345874753435,21.212345874753435,21.212345874753435,21.212345874753435,21.212345874753435,21.212345874753435,21.212345874753435,21.212345874753435,21.212345874753435,21.212345874753435,21.212345874753435,21.212345874753435,21.212345874753435,21.865936743172362,23.744451623794557,24.432916802653754,24.280779181667157,25.265854203891152,26.324344890475388,25.86755659259334,28.23860824092555,28.424308507928757,30.004940823985134,30.75311053701829,30.757054298838316,31.108526052103997,36.289458531226806,38.06752301990103,38.5196702795109
CZE,23.47577777604574,23.47577777604574,23.47577777604574,23.47577777604574,23.47577777604574,23.47577777604574,23.47577777604574,23.47577777604574,23.47577777604574,23.47577777604574,23.47577777604574,23.47577777604574,23.47577777604574,23.47577777604574,25.44127695740962,24.425970073380203,25.944028209325054,28.618422630169803,29.059868238066482,30.295727016952657,31.415390697864993,32.34793820740581,33.93539548273726,34.325444361386054,34.8415008927902,36.1555897973661,36.8770047736471,38.5856745382248,37.824949714765566,40.24000176083985
DNK,48.95823758405946,48.95823758405946,48.95823758405946,48.95823758405946,48.95823758405946,48.95823758405946,48.95823758405946,48.95823758405946,48.95823758405946,48.95823758405946,48.95823758405946,48.95823758405946,48.95823758405946,48.95823758405946,51.00775099258663,50.455993741600636,51.3245952022251,53.62440616550217,53.925002347764995,55.352059975264936,56.459544735901964,56.98891356189249,58.92313827231865,59.37994708043253,59.276713702469245,61.12115389085552,62.07918065499385,64.75710932976934,64.49620383594419,66.37216085813273
EST,32.77442748938565,32.77442748938565,32.77442748938565,32.77442748938565,32.77442748938565,32.77442748938565,32.77442748938565,32.77442748938565,32.77442748938565,32.77442748938565,32.77442748938565,32.77442748938565,32.77442748938565,32.77442748938565,32.160550523379186,32.46201014974108,32.813061471547435,34.144573610572216,35.39383965570689,34.70294977709008,34.62673153476638,36.200515970250365,36.60429792354397,35.14194683674913,35.71369257079014,38.23089693921045,36.41009863624644,38.04217440071183,36.79708626511023,37.8613723206371
FIN,56.03326175445045,56.03326175445045,56.03326175445045,56.03326175445045,56.03326175445045,56.03326175445045,56.03326175445045,56.03326175445045,56.03326175445045,56.03326175445045,56.03326175445045,56.03326175445045,56.03326175445045,56.03326175445045,55.69905509643045,56.12430983564024,57.069515174783845,59.338811628070474,59.91061255674506,60.68718373382795,61.60923031141691,62.857534072094445,62.587694410026,63.861422466080086,63.55567248831805,65.52473653531688,66.43339620120182,68.7289970428124,66.92777779516982,68.64315692213037
FRA,35.22688624091676,35.22688624091676,35.22688624091676,35.22688624091676,35.22688624091676,35.22688624091676,35.22688624091676,35.22688624091676,35.22688624091676,35.22688624091676,35.22688624091676,35.22688624091676,35.22688624091676,35.22688624091676,37.60823971763242,38.64348353182373,40.28664252136945,41.699708542302346,43.16496138813402,44.71022966284677,46.717874187890125,47.52876284854663,49.29366141341827,50.60479194647376,51.28109120354101,53.07098259786813,54.30384730069407,55.92524874130888,57.71688136989957,60.10603859849044
DEU,33.97518243718961,33.97518243718961,33.97518243718961,33.97518243718961,33.97518243718961,33.97518243718961,33.97518243718961,33.97518243718961,33.97518243718961,33.97518243718961,33.97518243718961,33.97518243718961,33.97518243718961,33.97518243718961,36.42180673923413,37.26280991305707,39.310372189466655,41.633081924269405,42.97307046095145,44.70691450691459,46.81595998311355,47.98978797372552,49.67875094067293,51.12865906330977,51.33402279455274,53.487583580907405,54.92411332783359,56.256776370396864,56.71060156716812,60.0948200907828
GRC,19.367170255264828,19.367170255264828,19.367170255264828,19.367170255264828,19.367170255264828,19.367170255264828,19.367170255264828,19.367170255264828,19.367170255264828,19.367170255264828,19.367170255264828,19.367170255264828,19.367170255264828,19.367170255264828,19.761958337636713,20.77802116855021,21.569590925730754,23.098749192591733,25.388360935981645,27.235423141617343,29.47590971308464,30.053302674523568,30.17549620719368,31.74677015701129,32.510942981638365,32.81481980037941,33.62619882431044,33.76437514223651,34.89106636007914,36.469516420399074
HUN,9.720721277768408,9.720721277768408,9.720721277768408,9.720721277768408,9.720721277768408,9.720721277768408,9.720721277768408,9.720721277768408,9.720721277768408,9.720721277768408,9.720721277768408,9.720721277768408,9.720721277768408,9.720721277768408,11.58032285748796,10.631535346305775,12.06881648561863,15.417352373875776,16.713647689934604,19.364474762973707,21.85281897328565,22.028315573783118,23.669667503225835,24.6452134658284,24.706169778774186,26.12918286290029,27.124574839115066,28.697513333756575,28.64994038738027,30.432639159442303
ISL,59.435099338614904,59.435099338614904,59.435099338614904,59.435099338614904,59.435099338614904,59.435099338614904,59.435099338614904,59.435099338614904,59.435099338614904,59.435099338614904,59.435099338614904,59.435099338614904,59.435099338614904,59.435099338614904,62.34459663436941,63.26377358733348,64.81084344999284,66.45231274188666,67.6200096127276,68.11879152228724,70.0978293009578,72.14686780400827,72.2683065247031,74.69956114818852,74.61637567472876,78.0336730631379,76.48649975816309,81.20171495522034,84.14923427224491,84.5448355452339
IRL,41.754740459266024,41.754740459266024,41.754740459266024,41.754740459266024,41.754740459266024,41.754740459266024,41.754740459266024,41.754740459266024,41.754740459266024,41.754740459266024,41.754740459266024,41.754740459266024,41.754740459266024,41.754740459266024,44.446130869091036,45.803068003729045,45.97947332282703,47.30665686684761,49.37843637030884,50.77037592210465,51.37167663899442,53.2472524578004,54.35949706289344,54.958575413652696,54.99545349304105,57.12736334403304,56.398178883360096,58.296388388309,58.34168501228921,59.564318382641744
ITA,25.292113687154384,25.292113687154384,25.292113687154384,25.292113687154384,25.292113687154384,25.292113687154384,25.292113687154384,25.292113687154384,25.292113687154384,25.292113687154384,25.292113687154384,25.292113687154384,25.292113687154384,25.292113687154384,27.070720072440537,28.752491640935347,29.69670529956785,31.705846961685545,33.97388346168441,36.22422846469537,39.07165349212391,39.04757581123775,40.11583436091433,41.86963492750939,43.00199626382401,43.63415710584027,45.37086612630787,47.12528580223225,49.14861122353156,50.38235091118555
XKX,18.075641191594006,18.075641191594006,18.075641191594006,18.075641191594006,18.075641191594006,18.075641191594006,18.075641191594006,18.075641191594006,18.075641191594006,18.075641191594006,18.075641191594006,18.075641191594006,18.075641191594006,18.075641191594006,18.579400388020066,18.596897904619663,20.39891416853927,20.978163335095022,22.971503088398922,24.647588507152726,26.675741728867315,26.437766948028685,27.18622025727177,28.961672228224376,30.696988489498295,31.624477504720566,33.174602612865414,33.445350984421474,34.17598544591819,35.77563518042597
LVA,60.66707631197992,60.66707631197992,60.66707631197992,60.66707631197992,60.66707631197992,60.66707631197992,60.66707631197992,60.66707631197992,60.66707631197992,60.66707631197992,60.66707631197992,60.66707631197992,60.66707631197992,60.66707631197992,60.7016711746421,59.717472321771645,57.952958556957235,57.81988342355356,55.94174580219675,55.37227909468242,53.61917956184693,54.37426044384427,54.40826612754158,53.46557117933166,53.861850344678786,54.79095419698066,54.59331889691573,56.7522876805548,55.53802503133491,56.39981007909714
