iso,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ALB,47.102424683075654,47.102424683075654,47.102424683075654,47.102424683075654,47.102424683075654,47.102424683075654,47.102424683075654,47.102424683075654,47.102424683075654,47.102424683075654,47.102424683075654,47.102424683075654,47.102424683075654,47.102424683075654,50.878511381835764,45.39312772957756,49.177461300974834,47.88503289925453,49.967580692752925,50.50977541349898,46.65155820590651,43.53101502193295,41.005469005662846,49.46006718410746,54.42613404745996,46.08336052974055,49.77893127139809,44.20709794983068,47.16975318101891,46.94617990267612
AND,42.70874502574831,42.70874502574831,42.70874502574831,42.70874502574831,42.70874502574831,42.70874502574831,42.70874502574831,42.70874502574831,42.70874502574831,42.70874502574831,42.70874502574831,42.70874502574831,42.70874502574831,42.70874502574831,43.20124639951091,50.25395181171247,43.195798895193484,50.64829099048925,49.0466669131642,43.74544742326298,47.52248318837607,43.511854193641256,43.86013118551835,47.57795104153148,49.38290721204791,46.076477382019654,44.09107165335286,41.93916998247808,43.8916409067343,44.05910714048253
AUT,45.106099666413115,45.106099666413115,45.106099666413115,45.106099666413115,45.106099666413115,45.106099666413115,45.106099666413115,45.106099666413115,45.106099666413115,45.106099666413115,45.106099666413115,45.106099666413115,45.106099666413115,45.106099666413115,51.16034162148529,51.75337010764394,56.58487560550047,53.9446312977085,48.32164658765887,48.74708858907134,52.892260895653884,49.19641474691981,48.972646881758656,51.15209443751877,53.44107017979203,47.946535646948405,49.20557746026912,48.562316671741065,49.7523495534993,50.26323986139811
BLR,66.13576546952842,66.13576546952842,66.13576546952842,66.13576546952842,66.13576546952842,66.13576546952842,66.13576546952842,66.13576546952842,66.13576546952842,66.13576546952842,66.13576546952842,66.13576546952842,66.13576546952842,66.13576546952842,67.11584912218355,65.56960015193741,66.94639067710776,68.25070736250235,69.32369492765643,65.71839254837239,60.94005596143713,65.43829878393711,66.49350734391052,64.1125967996866,63.42531592015133,62.94784314516646,64.8625895834,70.21430963115488,66.0693980383046,65.50624711101298
BEL,56.265337185498055,56.265337185498055,56.265337185498055,56.265337185498055,56.265337185498055,56.265337185498055,56.265337185498055,56.265337185498055,56.265337185498055,56.265337185498055,56.265337185498055,56.265337185498055,56.265337185498055,56.265337185498055,60.70174989591,59.49273954959605,62.65085977720691,64.71803735265686,64.08770067377182,61.600575272633186,62.97242616376605,64.42545501695248,65.36196714586244,63.92005984919563,64.60811275317239,66.13104040769265,66.52662197955459,65.56978940298127,66.47981024440182,66.95487042187297
BIH,33.319032440767366,33.319032440767366,33.319032440767366,33.319032440767366,33.319032440767366,33.319032440767366,33.319032440767366,33.319032440767366,33.319032440767366,33.319032440767366,33.319032440767366,33.319032440767366,33.319032440767366,33.319032440767366,38.76778366495821,38.896090014518926,40.703103661430255,40.54598186921731,35.49289652324315,35.2335131345819,39.37938650413989,31.419525143890777,29.04097534404825,36.88256166084778,43.20008516493304,35.20353379565208,38.35201183076284,30.62191031540642,35.31620525901605,34.09811564492192
BGR,38.7297372716759,38.7297372716759,38.7297372716759,38.7297372716759,38.7297372716759,38.7297372716759,38.7297372716759,38.7297372716759,38.7297372716759,38.7297372716759,38.7297372716759,38.7297372716759,38.7297372716759,38.7297372716759,43.68856242294023,41.57724030714125,45.8370019467219,45.79586776448143,42.89636884058687,43.150997372737685,40.95173559282374,37.778121324712636,34.83122654609703,41.12021461703623,46.46342002233956,40.90721694686499,41.43702496246706,39.94962465978609,42.1194122649014,40.900340859915815
HRV,34.37256411800077,34.37256411800077,34.37256411800077,34.37256411800077,34.37256411800077,34.37256411800077,34.37256411800077,34.37256411800077,34.37256411800077,34.37256411800077,34.37256411800077,34.37256411800077,34.37256411800077,34.37256411800077,39.59627887065209,40.76097011320998,42.6360589899564,41.07470388248128,36.31676377274008,36.18155695883598,41.38789742801428,33.591670477528105,32.164640611436255,38.1551461190451,43.67356608499824,36.149266345089245,37.94260195888405,32.44054848226078,35.719119477379344,35.38844447345074
CYP,37.38132998289739,37.38132998289739,37.38132998289739,37.38132998289739,37.38132998289739,37.38132998289739,37.38132998289739,37.38132998289739,37.38132998289739,37.38132998289739,37.38132998289739,37.38132998289739,37.38132998289739,37.38132998289739,40.325731510594025,45.881430587754586,39.761008760364966,39.67775269257999,39.73130641752854,37.69892464509159,33.2718825537809,34.80769762506586,29.48318950075382,36.26120820839379,41.08643011272991,35.77437129851664,24.864232113824507,38.13766765451002,44.72395695830826,40.93673268345851
CZE,48.57695928121647,48.57695928121647,48.57695928121647,48.57695928121647,48.57695928121647,48.57695928121647,48.57695928121647,48.57695928121647,48.57695928121647,48.57695928121647,48.57695928121647,48.57695928121647,48.57695928121647,48.57695928121647,55.28112117446735,53.290244520215126,57.13605935494389,57.25671507338268,52.83993869944855,52.00842458011247,54.53070365130983,53.26299620637839,52.37743311507238,54.53710078999754,54.602955803679485,52.02965822622721,52.64453035756499,54.54562436549606,55.16232047683961,54.358812365030765
