location,cause,year,val
Greece,Cardiovascular diseases,1990,45677.92847
Greece,Mesothelioma,1990,56.00384167
Greece,Chronic respiratory diseases,1990,2626.711622
Poland,Mesothelioma,1990,70.96969208
Poland,Leukemia,1990,2489.407473
Finland,Respiratory infections and tuberculosis,1991,2762.082763
Montenegro,Respiratory infections and tuberculosis,1990,63.95230123
Sweden,Respiratory infections and tuberculosis,1992,4455.917384
Hungary,Chronic respiratory diseases,1991,5287.140444
Poland,Cardiovascular diseases,1990,196011.3739
Greece,Leukemia,1990,992.1388075
Poland,Chronic respiratory diseases,1990,14579.29043
Iceland,Leukemia,1990,13.26333163
Iceland,Chronic respiratory diseases,1990,69.51014828
Iceland,Mesothelioma,1990,2.027343489
UK,Respiratory infections and tuberculosis,1991,39609.39054
Romania,Mesothelioma,1990,48.06827905
San Marino,Cardiovascular diseases,1991,57.95683747
Iceland,Cardiovascular diseases,1990,760.3311721
France,Chronic respiratory diseases,1991,21796.77878
Romania,Leukemia,1990,1076.32875
Romania,Cardiovascular diseases,1990,136527.6405
Iceland,Respiratory infections and tuberculosis,1990,105.1563677
Germany,Chronic respiratory diseases,1991,39375.84234
Ireland,Mesothelioma,1990,34.15815912
Romania,Respiratory infections and tuberculosis,1990,11183.13558
Ireland,Leukemia,1990,240.9275126
Ireland,Cardiovascular diseases,1990,13924.85912
Sweden,Chronic respiratory diseases,1992,2642.911468
San Marino,Chronic respiratory diseases,1991,5.241448174
Latvia,Leukemia,1993,247.8674321
Latvia,Cardiovascular diseases,1993,22026.72283
Ireland,Respiratory infections and tuberculosis,1990,1936.748874
Austria,Mesothelioma,1993,67.68237675
Austria,Leukemia,1993,593.0507279
Austria,Cardiovascular diseases,1993,39233.62013
Poland,Respiratory infections and tuberculosis,1990,9019.358599
Hungary,Mesothelioma,1991,30.63148546
Hungary,Leukemia,1991,917.530784
Greece,Respiratory infections and tuberculosis,1990,2168.930172
Greece,Mesothelioma,1991,57.40108968
Greece,Leukemia,1991,1025.441943
San Marino,Respiratory infections and tuberculosis,1991,4.112206888
France,Respiratory infections and tuberculosis,1991,20520.77236
Croatia,Respiratory infections and tuberculosis,1992,1329.970509
Albania,Respiratory infections and tuberculosis,1993,2037.438405
Bos&Herz,Chronic respiratory diseases,1993,1292.485518
Greece,Respiratory infections and tuberculosis,1991,2212.662158
North Macedonia,Leukemia,1991,89.28384214
North Macedonia,Cardiovascular diseases,1991,9330.925483
North Macedonia,Chronic respiratory diseases,1991,661.9371149
Latvia,Respiratory infections and tuberculosis,1993,720.4932497
Denmark,Cardiovascular diseases,1992,26616.52919
Slovakia,Chronic respiratory diseases,1990,1052.000886
France,Mesothelioma,1991,843.8595983
France,Leukemia,1991,5138.31672
France,Cardiovascular diseases,1991,169587.592
Switzerland,Mesothelioma,1992,108.193304
Switzerland,Leukemia,1992,597.16152
Switzerland,Cardiovascular diseases,1992,25637.53955
Ukraine,Respiratory infections and tuberculosis,1992,9892.093707
Hungary,Cardiovascular diseases,1991,71310.88811
Hungary,Respiratory infections and tuberculosis,1991,1895.522131
Austria,Chronic respiratory diseases,1993,2467.966448
Cyprus,Respiratory infections and tuberculosis,1992,167.1758708
Portugal,Mesothelioma,1993,27.24986989
Bulgaria,Respiratory infections and tuberculosis,1992,4133.769505
North Macedonia,Mesothelioma,1991,1.469094588
Germany,Mesothelioma,1991,1008.489785
Germany,Leukemia,1991,6311.03856
Germany,Cardiovascular diseases,1991,440460.8112
Bos&Herz,Mesothelioma,1993,9.655394178
Bos&Herz,Leukemia,1993,163.6823006
Bos&Herz,Cardiovascular diseases,1993,15837.16977
Croatia,Mesothelioma,1992,17.34689945
Croatia,Leukemia,1992,349.4402055
Croatia,Cardiovascular diseases,1992,25588.93592
Switzerland,Chronic respiratory diseases,1992,2566.970793
Lithuania,Mesothelioma,1993,15.17717121
Romania,Chronic respiratory diseases,1990,14278.08135
Denmark,Chronic respiratory diseases,1992,3465.874801
Ireland,Chronic respiratory diseases,1990,2300.851564
Switzerland,Respiratory infections and tuberculosis,1992,2635.66932
Ukraine,Mesothelioma,1992,321.9697541
Ukraine,Leukemia,1992,4624.687295
Ukraine,Cardiovascular diseases,1992,391781.6255
San Marino,Mesothelioma,1992,0.282872452
Serbia,Cardiovascular diseases,1990,52964.17415
Serbia,Chronic respiratory diseases,1990,3395.213621
Republic of Moldova,Respiratory infections and tuberculosis,1992,1356.824547
Denmark,Mesothelioma,1992,74.98100389
Denmark,Leukemia,1992,594.8393582
Slovenia,Mesothelioma,1990,11.78690949
Slovenia,Leukemia,1990,129.01084
Slovenia,Cardiovascular diseases,1990,8487.261961
Portugal,Leukemia,1993,773.3784116
Portugal,Cardiovascular diseases,1993,45515.03497
Portugal,Chronic respiratory diseases,1993,4777.754474
Albania,Mesothelioma,1990,2.610819181
Albania,Leukemia,1990,118.5009673
Albania,Cardiovascular diseases,1990,6701.378246
Belgium,Mesothelioma,1993,166.0549383
Belgium,Leukemia,1993,1047.155841
Belgium,Cardiovascular diseases,1993,38492.40983
North Macedonia,Respiratory infections and tuberculosis,1991,449.1972587
Portugal,Respiratory infections and tuberculosis,1993,4240.926297
Belgium,Chronic respiratory diseases,1993,6987.441896
Spain,Chronic respiratory diseases,1993,24061.63939
Croatia,Mesothelioma,1993,16.69651168
Croatia,Leukemia,1993,349.6510669
Croatia,Cardiovascular diseases,1993,25393.58877
Lithuania,Leukemia,1993,324.0830908
Lithuania,Cardiovascular diseases,1993,23740.49293
Spain,Mesothelioma,1993,286.5595961
Spain,Leukemia,1993,2753.69014
Croatia,Chronic respiratory diseases,1992,1243.653326
Italy,Cardiovascular diseases,1990,226510.4849
Italy,Mesothelioma,1990,1145.586013
Italy,Leukemia,1990,5206.719312
Denmark,Respiratory infections and tuberculosis,1992,2037.412063
Italy,Chronic respiratory diseases,1990,24262.6516
Slovakia,Respiratory infections and tuberculosis,1990,2912.341541
Hungary,Chronic respiratory diseases,1992,5426.492636
Germany,Respiratory infections and tuberculosis,1991,20113.37388
UK,Mesothelioma,1992,1843.143512
Luxembourg,Leukemia,1990,40.14712172
San Marino,Respiratory infections and tuberculosis,1993,4.298274777
Lithuania,Respiratory infections and tuberculosis,1993,836.7579909
Republic of Moldova,Cardiovascular diseases,1993,24182.52931
Bulgaria,Mesothelioma,1993,10.00816931
Montenegro,Mesothelioma,1991,0.668503275
Montenegro,Leukemia,1991,28.70806075
Montenegro,Cardiovascular diseases,1991,2303.069652
