Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ALB,28.581852235061557,28.50485229242953,29.21494014114119,30.025263469565523,30.685443862596088,31.576972819671216,31.878136159827747,32.26767272216059,32.66085063025654,32.8684929142235,33.32769702712115,34.28253693716536,34.320867645970324,34.08489375247998,34.62003993707137,35.1467069998994,36.29895130767817,37.08879833415633,37.521640427726254,38.191270581486286,38.76267622233762,38.83960070366631,39.138475085793004,39.75830809368612,40.132354407818355,40.28995747599518,40.88913490564472,41.177682441173076,41.69446501809903,42.163028400139574
AND,68.14519915126925,68.8799915463565,69.51300022351244,70.19390983057868,70.70745230876307,71.25916839875813,71.7561736436187,72.25314123653176,72.62902205546928,72.94931639305406,73.2032556863711,73.66356281881232,74.2214375103933,74.84704913217506,75.43600038557642,76.12576276140375,76.48688589552346,77.19341990767519,77.60098178918369,77.80345045886564,78.1835504741774,78.38857954042086,78.66296652261809,79.02159511128667,79.42239752600145,79.83487736299317,80.73226316530712,81.55062457113878,81.76696274370248,81.9314790568555
AUT,56.23739149587347,56.536151020861055,57.07115519824918,57.66948243292554,58.479661414999875,59.16048549637084,59.84281549835133,60.78727601977019,61.6419433941058,62.50680092879187,63.4163497282903,64.13964378146852,64.6490112788675,65.15295923061657,66.17122177073962,66.89691493789442,67.74864210814242,68.37088800212014,68.9510990724505,69.38163536773298,70.03438609182203,70.63167537358659,71.29878780119674,72.00005475744645,72.76053377397952,73.29040022856587,74.39771028533006,75.35901854599851,75.722759101268,75.9548256051365
BLR,56.11960512537987,56.86825468305003,57.8053765559328,58.24130030133065,58.96836255696031,59.51786789693493,60.30164168894831,61.010055971502936,61.54629210863949,62.20093679171674,62.83637680225207,63.70172083647787,64.11920796339487,64.70289794016642,65.7515459834205,66.42570802389949,67.25385560364572,67.6684931055616,68.06407805278256,68.44100041836987,69.04099311190096,69.94655100475802,70.89788851444871,71.97397413278216,73.34353445480123,74.14684251722083,74.7580841232338,75.04942026320158,75.307351513621,75.65326978301744
BEL,30.77675387139161,31.111232166775814,30.983550150957285,30.741536058048723,30.819792720057734,31.11764483274501,31.241634337724516,31.112229265165073,31.44263065305718,31.99137659455169,32.51962635674403,33.043499064955355,33.23352472590994,33.725677256073624,34.438075488180985,34.99203877704247,35.50803689045694,36.28460304053734,36.938630788033954,37.653496215934936,38.30199174534454,38.84523122985206,39.51580366279133,40.216664983047544,40.392174912164315,40.91812501904696,41.37554100385138,41.69568538137975,41.973035835519056,42.30587297789215
BIH,29.08611324595938,28.270032450363367,28.27417864704083,28.111724123065844,28.160984794612215,28.346852075521344,29.008116578625305,29.540911422356118,30.57351763956534,31.04212235790991,31.278922317261234,31.45036641780831,31.483553578380402,31.990360643089268,32.658490894186365,32.688051443166856,33.40665970980965,33.37420619974901,34.47964262200552,35.03271473790642,35.72029038008928,35.794400276076196,36.16767056819301,36.504705186336594,36.848419928066676,36.68333999478218,37.472247337146236,37.983970063069805,38.28159397818636,38.662762307458145
BGR,34.115185756855084,33.906977740434534,33.748214563890095,32.864749059143875,32.94383501925521,32.60128783860599,33.01633966463789,33.20782525976506,33.25141686846022,33.23706629611493,34.286484015703245,34.04648376174092,33.91161550763735,34.78459893156402,35.64770838567905,35.88349729790441,36.936876150477296,38.2728583870676,38.980152304421395,39.393824486817444,39.62073928666108,40.074759963468786,42.348937045082735,43.34820746620357,44.36944824734447,45.49054874236662,46.615094036543425,47.487375281126674,47.721595176347435,47.997668790970245
HRV,67.09891560489675,67.63998041764958,68.43036942359984,69.30614811000946,69.89654012492915,70.27384095670145,71.04300385256806,71.54247598299715,72.11700164625967,72.66751997626953,73.16585090113253,73.81509018102577,74.24547108141097,74.77122043981483,75.57255025647618,76.09901635003065,76.53707209760631,76.98818719326752,77.3135123333717,77.51623857551782,78.01148790841899,78.67999071909523,79.6535879084637,80.63529511793296,81.78248917761636,82.88570162894456,84.24355242624297,85.22719164677794,85.34959557940918,85.41533842958806
CYP,49.80237892982392,49.527255275144995,49.804453277657316,50.550079250881815,51.6534660261862,52.55641791870187,53.435453299089296,54.29040121763427,55.13892894779727,56.04253781870964,57.10981172492091,58.22638452472897,59.289816731274584,60.211150651295306,61.052586625674806,61.84671921942074,62.38827529518421,63.054893593246504,63.95896459564065,64.82859980573198,65.44189846345787,66.43378041773559,67.01045678024623,67.73542718490984,68.40125932726231,68.79793011872266,69.71648870953149,70.97276248078786,71.40739670876822,71.4613954054731
CZE,39.62886853237592,40.75440725393624,41.58634633914372,42.88309806973694,43.95633052716954,44.771068978766365,46.03540677282669,46.791167346308086,48.05720386117092,48.905463235401825,49.63688609394839,50.22945427338026,50.87068274611284,51.02956565496781,52.10188952530348,52.61007652465668,53.54077901902858,54.15308149604561,54.50437450476144,54.9817435745132,55.43530459009879,56.271671175253154,57.50232334765279,58.78777742868737,60.27071472424535,61.38063299565169,62.06173738352855,62.694474982051844,62.94004487655059,63.399789333621314
