1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0.5000000000000004,0.5000000000000004,0.5000000000000004,0.5000000000000004,0.5000000000000004,0.5000000000000004,0.5000000000000004,0.5000000000000004,0.5000000000000004,0.5000000000000004,0.5000000000000004,0.5000000000000004,0.5000000000000004,0.5000000000000004,0.5000000000000004,0.5000000000000004,0.5000000000000004,0.5000000000000004,0.5000000000000004,0.5000000000000004,0.5000000000000004,0.5000000000000004,0.5000000000000004,0.5000000000000004,0.5000000000000004,0.5000000000000004,0.5000000000000004,0.5000000000000004,0.5000000000000004,0.5000000000000004
31.05,31.05,31.05,31.05,31.05,31.05,31.05,31.05,31.05,31.05,31.05,31.05,31.05,31.05,31.05,31.05,31.05,31.05,31.05,31.05,31.05,31.05,31.05,31.05,31.05,31.05,31.05,31.05,31.05,31.05
98.09,98.09,98.09,98.09,98.09,98.09,98.09,98.09,98.09,98.09,98.09,98.09,98.09,98.09,98.09,98.09,98.09,98.09,98.09,98.09,98.09,98.09,98.09,98.09,98.09,98.09,98.09,98.09,98.09,98.09
64.14999999999999,64.14999999999999,64.14999999999999,64.14999999999999,64.14999999999999,64.14999999999999,64.14999999999999,64.14999999999999,64.14999999999999,64.14999999999999,64.14999999999999,64.14999999999999,64.14999999999999,64.14999999999999,64.14999999999999,64.14999999999999,64.14999999999999,64.14999999999999,64.14999999999999,64.14999999999999,64.14999999999999,64.14999999999999,64.14999999999999,64.14999999999999,64.14999999999999,64.14999999999999,64.14999999999999,64.14999999999999,64.14999999999999,64.14999999999999
98.28,98.28,98.28,98.28,98.28,98.28,98.28,98.28,98.28,98.28,98.28,98.28,98.28,98.28,98.28,98.28,98.28,98.28,98.28,98.28,98.28,98.28,98.28,98.28,98.28,98.28,98.28,98.28,98.28,98.28
34.48,34.48,34.48,34.48,34.48,34.48,34.48,34.48,34.48,34.48,34.48,34.48,34.48,34.48,34.48,34.48,34.48,34.48,34.48,34.48,34.48,34.48,34.48,34.48,34.48,34.48,34.48,34.48,34.48,34.48
83.99,83.99,83.99,83.99,83.99,83.99,83.99,83.99,83.99,83.99,83.99,83.99,83.99,83.99,83.99,83.99,83.99,83.99,83.99,83.99,83.99,83.99,83.99,83.99,83.99,83.99,83.99,83.99,83.99,83.99
77.3,77.3,77.3,77.3,77.3,77.3,77.3,77.3,77.3,77.3,77.3,77.3,77.3,77.3,77.3,77.3,77.3,77.3,77.3,77.3,77.3,77.3,77.3,77.3,77.3,77.3,77.3,77.3,77.3,77.3
82.36,82.36,82.36,82.36,82.36,82.36,82.36,82.36,82.36,82.36,82.36,82.36,82.36,82.36,82.36,82.36,82.36,82.36,82.36,82.36,82.36,82.36,82.36,82.36,82.36,82.36,82.36,82.36,82.36,82.36
93.74,93.74,93.74,93.74,93.74,93.74,93.74,93.74,93.74,93.74,93.74,93.74,93.74,93.74,93.74,93.74,93.74,93.74,93.74,93.74,93.74,93.74,93.74,93.74,93.74,93.74,93.74,93.74,93.74,93.74
99.38,99.38,99.38,99.38,99.38,99.38,99.38,99.38,99.38,99.38,99.38,99.38,99.38,99.38,99.38,99.38,99.38,99.38,99.38,99.38,99.38,99.38,99.38,99.38,99.38,99.38,99.38,99.38,99.38,99.38
90.31,90.31,90.31,90.31,90.31,90.31,90.31,90.31,90.31,90.31,90.31,90.31,90.31,90.31,90.31,90.31,90.31,90.31,90.31,90.31,90.31,90.31,90.31,90.31,90.31,90.31,90.31,90.31,90.31,90.31
98.34,98.34,98.34,98.34,98.34,98.34,98.34,98.34,98.34,98.34,98.34,98.34,98.34,98.34,98.34,98.34,98.34,98.34,98.34,98.34,98.34,98.34,98.34,98.34,98.34,98.34,98.34,98.34,98.34,98.34
96.91,96.91,96.91,96.91,96.91,96.91,96.91,96.91,96.91,96.91,96.91,96.91,96.91,96.91,96.91,96.91,96.91,96.91,96.91,96.91,96.91,96.91,96.91,96.91,96.91,96.91,96.91,96.91,96.91,96.91
98.47,98.47,98.47,98.47,98.47,98.47,98.47,98.47,98.47,98.47,98.47,98.47,98.47,98.47,98.47,98.47,98.47,98.47,98.47,98.47,98.47,98.47,98.47,98.47,98.47,98.47,98.47,98.47,98.47,98.47
90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5
49.61,49.61,49.61,49.61,49.61,49.61,49.61,49.61,49.61,49.61,49.61,49.61,49.61,49.61,49.61,49.61,49.61,49.61,49.61,49.61,49.61,49.61,49.61,49.61,49.61,49.61,49.61,49.61,49.61,49.61
91.9,91.9,91.9,91.9,91.9,91.9,91.9,91.9,91.9,91.9,91.9,91.9,91.9,91.9,91.9,91.9,91.9,91.9,91.9,91.9,91.9,91.9,91.9,91.9,91.9,91.9,91.9,91.9,91.9,91.9
93.9,93.9,93.9,93.9,93.9,93.9,93.9,93.9,93.9,93.9,93.9,93.9,93.9,93.9,93.9,93.9,93.9,93.9,93.9,93.9,93.9,93.9,93.9,93.9,93.9,93.9,93.9,93.9,93.9,93.9
91.34,91.34,91.34,91.34,91.34,91.34,91.34,91.34,91.34,91.34,91.34,91.34,91.34,91.34,91.34,91.34,91.34,91.34,91.34,91.34,91.34,91.34,91.34,91.34,91.34,91.34,91.34,91.34,91.34,91.34
53.14,53.14,53.14,53.14,53.14,53.14,53.14,53.14,53.14,53.14,53.14,53.14,53.14,53.14,53.14,53.14,53.14,53.14,53.14,53.14,53.14,53.14,53.14,53.14,53.14,53.14,53.14,53.14,53.14,53.14
85.91,85.91,85.91,85.91,85.91,85.91,85.91,85.91,85.91,85.91,85.91,85.91,85.91,85.91,85.91,85.91,85.91,85.91,85.91,85.91,85.91,85.91,85.91,85.91,85.91,85.91,85.91,85.91,85.91,85.91
64.60000000000001,64.60000000000001,64.60000000000001,64.60000000000001,64.60000000000001,64.60000000000001,64.60000000000001,64.60000000000001,64.60000000000001,64.60000000000001,64.60000000000001,64.60000000000001,64.60000000000001,64.60000000000001,64.60000000000001,64.60000000000001,64.60000000000001,64.60000000000001,64.60000000000001,64.60000000000001,64.60000000000001,64.60000000000001,64.60000000000001,64.60000000000001,64.60000000000001,64.60000000000001,64.60000000000001,64.60000000000001,64.60000000000001,64.60000000000001
88.68,88.68,88.68,88.68,88.68,88.68,88.68,88.68,88.68,88.68,88.68,88.68,88.68,88.68,88.68,88.68,88.68,88.68,88.68,88.68,88.68,88.68,88.68,88.68,88.68,88.68,88.68,88.68,88.68,88.68
97.59,97.59,97.59,97.59,97.59,97.59,97.59,97.59,97.59,97.59,97.59,97.59,97.59,97.59,97.59,97.59,97.59,97.59,97.59,97.59,97.59,97.59,97.59,97.59,97.59,97.59,97.59,97.59,97.59,97.59
91.82000000000001,91.82000000000001,91.82000000000001,91.82000000000001,91.82000000000001,91.82000000000001,91.82000000000001,91.82000000000001,91.82000000000001,91.82000000000001,91.82000000000001,91.82000000000001,91.82000000000001,91.82000000000001,91.82000000000001,91.82000000000001,91.82000000000001,91.82000000000001,91.82000000000001,91.82000000000001,91.82000000000001,91.82000000000001,91.82000000000001,91.82000000000001,91.82000000000001,91.82000000000001,91.82000000000001,91.82000000000001,91.82000000000001,91.82000000000001
8.16,8.16,8.16,8.16,8.16,8.16,8.16,8.16,8.16,8.16,8.16,8.16,8.16,8.16,8.16,8.16,8.16,8.16,8.16,8.16,8.16,8.16,8.16,8.16,8.16,8.16,8.16,8.16,8.16,8.16
90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.4
