Country,2004,2006,2008,2010,2012,2014,2016,2018,2020
Belgium,5 197 467,4 039 064,5 918 821,4 767 299,2 785 751,2 961 135,3 812 878,3 915 957,3 945 579
Bulgaria,11 897 809,13 551 499,13 042 680,13 553 483,13 407 042,12 206 169,13 328 437,13 432 068,13 951 855
Czechia,1 446 021,1 307 080,1 510 496,1 362 864,1 481 281,1 162 342,1 088 714,1 690 097,1 759 507
Denmark,319 672,372 892,419 646,1 224 795,1 216 905,1 715 907,2 010 740,2 091 941,1 369 108
Germany,20 000 026,21 705 416,22 323 152,19 931 452,21 983 895,21 812 660,23 039 154,24 194 136,23 415 024
Estonia,7 333 269,6 618 811,7 538 297,8 961 708,9 159 139,10 410 321,9 682 164,10 880 287,1 592 190
Ireland,724 345,708 791,743 418,1 972 204,478 706,482 907,533 987,630 526,886 987
Greece,336 075,274 954,252 955,291 773,297 370,221 041,504 282,618 924,552 386
Spain,3 116 013,4 028 246,3 648 602,2 991 152,3 113 947,2 984 518,3 183 846,3 224 197,3 304 798
France,8 764 275,8 888 747,10 892 900,11 538 134,11 303 137,10 782 969,11 010 303,12 098 017,11 240 840
Croatia,113 298,771 116,221 145,72 553,121 419,130 239,174 325,174 350,186 956
Italy,6 134 449,7 464 670,6 878 155,8 543 415,8 987 032,8 877 164,9 706 964,10 137 834,9 962 282
Cyprus,111 117,16 961,23 786,37 311,31 069,173 050,159 080,224 291,32 303
Latvia,16 955,65 333,67 462,67 906,95 114,104 142,66 223,77 334,141 420
Lithuania,89 670,95 178,115 719,105 323,136 786,165 477,175 951,192 865,257 581
Luxembourg,123 852,233 895,199 115,380 072,315 082,237 180,356 553,430 597,250 145
Hungary,1 364 493,1 300 126,670 613,540 599,700 246,596 554,457 139,542 845,575 967
Malta,44 105,51 012,55 267,24 856,37 987,36 654,134 001,30 316,41 546
Netherlands,2 136 411,5 135 703,4 453 991,4 486 479,4 855 399,4 832 314,5 134 155,5 129 285,5 021 596
Austria,1 013 727,961 899,1 329 984,1 472 864,1 065 888,1 272 288,1 260 953,1 314 176,1 287 107
Poland,1 612 213,2 380 676,1 468 317,1 491 845,1 737 024,1 681 037,1 917 134,3 804 728,2 254 848
Portugal,2 263 203,6 063 104,564 884,681 193,733 856,738 249,834 601,1 114 664,935 261
Romania,2 293 510,1 054 266,530 753,695 689,689 251,590 299,624 979,736 850,774 611
Slovenia,107 906,116 405,152 744,117 180,133 334,155 229,123 617,128 974,132 589
Slovakia,422 274,532 941,527 205,415 479,370 223,371 214,496 126,450 121,435 871
Finland,2 153 103,2 710 948,2 163 268,2 559 417,1 653 942,1 998 693,2 388 490,1 899 442,3 272 912
Sweden,1 624 770,2 654 038,2 063 389,2 527 760,2 696 749,2 568 154,2 379 232,2 882 135,7 948 614
Iceland,8 501,:,90 484,8 304,16 263,36 250,47 857,32 351,41 459
Liechtenstein,:,:,7 204,8 354,3 642,5 744,3 627,2 649,1 096
Norway,669 983,1 217 807,1 447 674,1 763 033,1 357 843,1 592 280,1 621 059,1 634 612,1 865 604
United Kingdom,7 972 970,8 448 468,7 285 198,5 242 857,5 780 729,5 606 753,6 038 339,6 194 999,:
Bosnia and Herzegovina,:,:,:,:,945 923,8 703,13 292,14 162,9 943
Montenegro,:,:,:,:,209 280,270 823,326 255,339 524,343 884
North Macedonia,:,:,6 441,149 534,678 568,40 797,57 005,20 471,418 177
Albania,:,:,:,:,:,:,:,:,:
Serbia,:,:,:,11 161 172,14 457 178,13 475 027,17 230 470,15 355 003,11 348 113
Kosovo,:,:,:,:,1 348,495,33,261 473,2
