Country,2004,2006,2008,2010,2012,2014,2016,2018,2020
Belgium,2 565 146,2 373 226,3 882 910,1 974 848,2 723 004,1 690 673,1 797 742,1 753 627,592 235
Bulgaria,144 660,201 019,60 942,2 200,14 481,18 893,11 917,6 266,100 253
Czechia,40 605,69 121,68 769,55 495,76 171,79 129,80 980,93 557,88 748
Denmark,3 168 228,0,0,0,2 883,3 871,4 121,5 253,1 026
Germany,14 529 586,15 229 279,13 894 941,12 645 738,11 016 534,8 377 954,4 541 167,1 944 014,2 009 302
Estonia,2 457,41,0,21,56,20,59,43,4
Ireland,37 413,35 216,20 902,42 828,13 417,13 122,7 489,8 879,9 551
Greece,3 977,16 347,29 048,21 309,20 832,21 909,7 222,7 010,6 875
Spain,172 997,554 046,490 262,411 749,7 308,8 406,13 491,156 033,98 480
France,886 000,7 213 200,8 612 409,7 808 720,7 153 065,6 061 879,4 993 726,4 344 300,4 244 931
Croatia,20 338,88 214,25 003,23 573,93,51,56,0,0
Italy,4 845 919,6 019 944,5 157 331,6 092 114,5 814 274,6 696 869,3 716 892,3 733 871,676 123
Cyprus,8 427,14 192,14 116,6 856,6 702,20,0,0,0
Latvia,322,940,312,213,840,543,198,255,49
Lithuania,28 614,16 892,51 582,1 519,1 020,2 408,1 919,2 100,2 188
Luxembourg,133 803,:,134 957,124 138,134 180,0,12,0,107
Hungary,59 574,69 603,64 968,81 859,89 881,91 727,80 503,82 097,85 047
Malta,0,0,5 683,7 262,5 972,6 121,5 451,4 840,6 011
Netherlands,6 993 095,7 082 569,7 475 614,3 960 746,1 598 813,1 232 358,1 223 083,1 128 186,1 151 649
Austria,1 858 338,1 398 793,1 593 693,1 649 144,74 532,:,:,:,:
Poland,256 190,680 968,670 355,368 874,328 351,673 054,572 271,627 540,284 517
Portugal,77 171,998 023,292 758,24 924,32 333,22 473,23 271,30 478,33 873
Romania,9 158,16 453,54 977,121 278,182 178,68 015,99 951,79 937,82 971
Slovenia,105 862,76 534,15 761,35 335,36 038,34 653,37 357,39 263,38 243
Slovakia,76 330,288 605,66 010,65 804,71 293,59 657,36 345,40 857,11 754
Finland,156 171,132 399,169 601,389 417,444 764,495 960,54 816,97 595,138 257
Sweden,71 853,104 665,87 180,86 744,43 164,107 501,220 726,134 144,71 006
Iceland,17 000,:,0,0,0,12 611,13 488,14 068,12 114
Norway,222 263,446 763,514 484,275 596,86 115,50 508,57 476,51 975,361 331
United Kingdom,1 449 121,5 273 057,5 635 360,5 698 667,5 915 632,7 557 099,5 684 552,7 295 182,:
Montenegro,:,:,:,:,39,18,3,1,0
North Macedonia,:,:,50,637,40 667,19 513,:,4 986,4 930
Albania,:,:,:,:,:,38 095,:,:,:
Serbia,:,:,:,128,29,73,0,0,0
Kosovo,:,:,:,:,:,:,0,:,460
