Country,2004,2006,2008,2010,2012,2014,2016,2018,2020
Belgium,4 269 669,2 770 704,3 050 003,2 913 704,2 929 843,2 665 406,2 768 296,3 812 115,3 461 966
Bulgaria,192 750 164,156 119 523,158 305 613,157 886 286,156 777 246,171 932 361,110 326 342,114 575 526,100 847 706
Czechia,5 957 036,4 909 428,4 797 653,4 204 004,3 670 423,3 434 784,3 804 446,3 617 896,3 872 854
Denmark,962 655,959 395,1 033 628,2 532 049,3 033 203,3 690 214,5 551 451,1 086 271,1 289 715
Germany,106 362 502,74 701 529,74 708 488,66 931 895,63 750 482,71 217 267,69 527 785,71 370 169,67 420 371
Estonia,11 536 612,11 193 551,11 675 147,11 661 434,8 162 155,13 607 169,12 860 063,13 239 255,6 010 487
Ireland,6 404 041,7 091 215,5 705 140,5 853 802,4 804 666,4 254 600,4 523 421,3 339 204,4 088 411
Greece,22 055 581,41 646 199,62 108 210,58 519 922,62 826 621,59 283 179,66 322 003,36 296 661,14 127 213
Spain,101 956 980,97 430 502,64 290 786,49 464 293,48 259 328,49 534 273,57 250 547,58 811 437,31 147 900
France,93 236 415,99 106 471,107 423 983,110 364 781,105 041 977,87 723 439,83 983 765,87 733 730,77 370 082
Croatia,4 150 075,2 066 316,2 621 183,2 047 832,1 914 693,1 767 678,1 762 822,1 590 392,1 430 126
Italy,37 698 681,31 675 178,32 451 603,25 654 846,23 084 193,20 663 607,19 334 485,18 319 686,15 604 666
Cyprus,856 662,1 042 598,1 075 682,975 845,1 448 288,1 095 728,1 146 325,1 009 584,626 551
Latvia,652 712,683 466,721 452,629 680,611 947,675 867,373 635,476 420,525 753
Lithuania,3 358 597,3 807 194,4 019 448,3 370 921,3 115 152,3 067 513,2 723 210,2 620 051,2 034 141
Luxembourg,4 666 577,3 634 611,6 147 476,6 104 995,3 506 660,3 266 368,4 410 950,2 479 959,2 228 118
Hungary,7 269 365,11 120 026,9 684 213,7 357 327,6 841 577,5 392 805,4 778 463,4 141 319,4 199 245
Malta,3 047 334,2 633 792,1 769 197,1 029 933,741 291,450 107,252 806,335 310,294 456
Netherlands,21 170 441,22 649 688,21 435 950,46 277 492,47 549 098,59 346 237,64 318 486,70 517 861,51 194 510
Austria,9 748 784,11 472 605,10 705 781,11 756 296,15 995 553,20 797 372,27 544 826,28 794 325,29 633 397
Poland,26 785 661,29 376 060,29 485 630,32 711 931,40 757 479,45 482 177,45 634 094,41 521 106,34 800 212
Portugal,11 114 678,13 558 105,6 983 292,4 503 537,3 863 740,3 929 735,3 351 372,3 546 807,3 816 460
Romania,203 072 081,157 065 057,148 947 057,189 948 310,237 007 942,162 638 120,165 280 996,190 964 310,127 499 016
Slovenia,1 542 112,1 726 256,1 873 181,1 436 041,638 659,498 902,333 473,310 136,360 031
Slovakia,4 936 380,7 106 332,4 715 456,3 812 224,4 059 354,3 817 228,3 784 554,3 412 554,3 034 918
Finland,40 259 348,37 437 606,42 195 364,63 395 295,48 015 370,75 418 898,110 440 389,104 378 529,94 710 403
Sweden,64 668 724,65 036 880,63 036 015,87 540 875,124 963 562,137 850 865,104 549 433,101 676 401,114 328 772
Iceland,372 000,:,264 033,163 574,160 015,198 937,237 997,218 555,188 918
Norway,2 426 965,2 261 809,2 389 539,2 170 302,1 299 791,1 993 424,2 149 433,5 206 693,5 937 042
United Kingdom,125 781 939,127 196 875,116 272 563,83 746 103,79 758 397,77 643 509,77 726 540,76 533 796,:
Montenegro,:,:,:,:,929 225,962 512,945 049,981 467,994 627
North Macedonia,:,:,1 180 277,1 774 784,8 895 835,1 479 352,:,149 917,913 653
Albania,:,:,:,:,:,919 205,:,:,:
Serbia,:,:,:,32 553 589,54 180 323,48 103 634,46 709 091,48 861 165,55 664 331
Kosovo,:,:,:,:,:,:,395 251,:,2 409 143
