Country,2004,2006,2008,2010,2012,2014,2016,2018,2020
Belgium,:,23 140 966,17 345 118,24 106 924,31 870 399,33 037 345,33 449 897,37 859 864,46 572 552
Bulgaria,2 122 183,1 987 322,2 700 060,1 922 353,1 788 520,3 560 458,6 058 119,3 414 913,8 524 061
Czechia,15 735 403,11 353 808,13 441 911,13 219 721,13 556 985,15 337 371,17 995 558,28 932 776,30 036 660
Denmark,8 761 855,10 787 222,10 282 534,7 778 942,7 705 564,10 347 151,9 791 108,13 757 285,12 532 418
Germany,213 717 282,251 113 111,255 336 958,241 563 259,244 276 134,252 158 489,265 646 945,267 931 772,267 430 663
Estonia,3 603 991,6 207 711,5 455 924,5 955 650,12 098 783,6 613 240,6 506 160,8 136 148,8 965 421
Ireland,11 617 843,15 462 353,10 415 485,3 356 440,2 811 788,4 999 172,6 677 532,7 705 389,8 804 899
Greece,3 393 770,10 527 323,5 250 963,11 722 265,8 368 133,7 609 093,3 409 795,6 049 420,7 117 893
Spain,30 916 058,42 288 921,70 354 532,80 288 909,56 939 199,50 319 456,45 622 060,59 425 435,51 715 301
France,174 161 057,175 796 985,194 549 002,200 677 448,191 314 823,192 494 192,199 331 337,215 398 124,188 431 526
Croatia,422 167,657 751,383 835,403 242,1 036 374,1 643 786,1 886 083,2 102 312,2 507 824
Italy,57 167 374,75 632 616,87 826 097,93 036 713,98 968 790,99 714 421,107 487 175,116 994 354,122 671 367
Cyprus,299 637,182 019,744 953,1 380 904,388 821,584 984,733 296,682 527,508 997
Latvia,303 627,455 855,646 239,312 399,807 758,1 094 359,1 337 465,1 063 953,1 431 063
Lithuania,1 030 870,1 211 591,1 361 310,1 062 396,1 065 147,1 284 692,1 837 498,1 707 281,1 837 430
Luxembourg,5 363 409,6 429 056,5 311 371,6 163 387,6 624 863,5 057 422,6 677 928,7 671 679,7 203 682
Hungary,2 212 102,3 216 895,5 440 040,5 125 324,5 072 018,6 973 886,8 068 726,11 616 467,15 029 900
Malta,50 605,144 593,176 159,176 954,551 708,831 386,1 090 838,1 802 871,2 989 295
Netherlands,57 142 955,61 770 469,66 692 585,57 964 213,59 880 430,59 257 658,63 770 231,63 157 367,60 225 123
Austria,36 390 005,29 878 589,32 149 552,14 981 602,26 741 675,29 538 788,28 826 226,30 767 994,33 251 931
Poland,97 561 003,137 846 646,106 245 911,109 694 779,116 044 432,131 267 418,111 383 892,112 539 288,97 903 959
Portugal,10 139 325,8 348 498,4 584 414,4 117 240,4 697 291,5 707 970,5 123 675,5 622 686,5 878 130
Romania,6 544 500,4 668 368,8 171 505,7 521 694,8 714 402,7 584 057,7 837 453,6 928 974,8 368 748
Slovenia,2 951 002,2 013 964,3 039 793,3 884 622,4 067 433,4 642 292,4 208 063,7 757 681,6 555 192
Slovakia,6 565 340,5 075 053,3 874 782,3 559 221,2 650 771,2 901 858,3 544 967,4 486 164,6 694 444
Finland,17 276 282,18 590 369,22 855 427,31 998 572,31 700 341,12 854 027,9 271 982,14 506 107,11 749 054
Sweden,13 065 467,15 199 944,9 817 659,16 587 093,19 506 447,17 711 585,23 188 834,20 832 930,21 144 320
Iceland,82 700,:,441 730,321 015,346 823,599 774,811 200,1 059 605,840 474
Norway,2 683 076,4 103 995,4 541 615,2 565 887,4 446 057,4 901 532,5 076 385,5 238 192,4 649 881
United Kingdom,85 734 543,108 936 814,143 007 631,109 952 211,105 599 509,117 970 991,120 747 511,122 540 912,:
Montenegro,:,:,:,:,70 405,74 825,44 623,66 866,59 206
North Macedonia,:,:,322 550,330 587,67 533,159,:,1 060 076,538 091
Albania,:,:,:,:,:,265 439,:,:,:
Serbia,:,:,:,565 310,793 258,1 285 494,1 721 790,2 030 994,2 337 251
Kosovo,:,:,:,:,:,:,0,:,183 292
