Country,Spent Solvents,"Acid, alkaline or saline wastes",Used Oils,Chemical Wastes,Industrial effluent sludges,Sludges and liquid wastes from waste treatment,Health care and biological wastes,Recyclable wastes,"Metal wastes, ferrous","Metal wastes, non-ferrous",Glass wastes,Paper and cardboard wastes,Rubber wastes,Wood wastes,Plastic wastes,Textile wastes,Equipment,Waste containing PCB,Discarded Equipment,Discarded vehicles,Batteries and accumulators wastes,Animal and vegetal wastes,Animal and mixed food waste,Vegetal wastes,"Animal faeces, urine and manure",Mixed ordinary wastes,Household and similar wastes,Mixed and undifferentiated materials,Sorting residues,Common sludges,Mineral and solidified wastes,Mineral waste from construction and demolition,Other Mineral Waste,Combustion Waste,Soils,Dredging Spoils,Waste treatment and stabilised wastes,Metallic wastes,Animal and mixed food waste
Belgium,1 415 541,3 761 960,1 274 054,7 478 742,5 518 661,4 355 918,882 759,34 878 390,17 100 604,3 604 665,9 226 422,34 603 394,812 546,26 421 756,8 258 345,2 087 397,1 573 666,510 689,39 638 829,85 765 668,457 189,15 543 031,7 225 250,32 311 164,502 676,23 118 345,39 610 810,16 470 209,14 209 997,7 792 390,76 904 636,108 554 500,12 024 287,33 896 246,20 019 222,6 922 916,220 421 843,11 873 751,15 465 792
Bulgaria,482,1 475 861,181 317,1 914 556,2 833 405,215 882,37 293,2 914 020,3 420 659,509 305,970 840,2 663 384,275 279,2 428 748,1 340 953,170 623,107 484,41 389,2 221 535,3 637 077,81 003,2 946 868,588 474,2 249 790,4 107 395,12 092 601,28 016 214,1 463 057,3 277 022,914 001,509 584 380,3 584 009,757 095 888,90 133 090,902 113,8 660 190,7 184 291,1 260 259,1 512 724
Czechia,101 288,987 516,611 301,2 836 932,2 578 621,571 709,302 282,12 545 401,18 515 084,1 046 994,2 510 384,7 565 323,327 111,3 350 337,3 095 717,1 035 567,132 856,2 964,1 030 641,1 065 832,77 091,2 069 354,489 712,3 919 453,135 189,11 007 052,29 022 931,2 501 282,4 188 220,4 517 850,49 379 236,26 026 175,3 221 674,20 123 861,58 636 668,3 729 572,3 846 262,7 262 613,2 055 199
Denmark,199 787,109 539,407 864,801 603,448 907,72 328,62 507,7 498 658,5 774 954,583 797,1 512 545,7 105 969,421 796,5 861 303,822 526,82 218,779 439,45 863,1 260 653,1 560 930,109 193,518 204,1 349 279,5 424 241,547 716,12 354 901,24 727 518,6 447 037,2 678 339,2 194 003,19 941 508,19 637 697,1 797 416,8 578 738,34 430 627,113 709,5 699 956,2 029 798,518 199
Germany,6 603 331,10 985 767,10 024 700,32 447 306,14 694 213,2 725 494,2 695 312,96 686 682,57 259 005,7 580 806,27 626 771,77 594 459,4 707 033,99 930 370,20 707 892,2 520 186,5 676 321,154 609,10 496 727,9 314 041,2 488 439,32 462 342,10 703 781,70 929 545,9 210 532,118 269 942,194 575 187,56 894 705,139 463 524,11 443 705,816 891 001,497 548 533,210 887 358,182 954 638,708 966 633,8 018 854,141 541 483,24 832 026,29 187 542
Estonia,3 101,211 673,153 498,11 801 988,895 168,202 993,25 581,10 942 472,2 880 228,212 557,436 190,1 508 206,257 574,9 930 912,477 183,72 051,114 439,113 619,9 884 104,8 491 146,33 543,1 106 702,311 837,325 248,535 335,2 467 775,4 065 859,587 854,919 364,658 014,39 747 625,4 113 426,48 310 108,64 502 671,5 380 537,474 494,138 708 262,2 463 808,1 021 956
Ireland,1 683 805,194 255,211 984,2 136 766,921 293,1 573 996,199 683,5 706 528,2 011 570,291 900,1 337 568,5 567 687,107 493,2 946 366,1 851 307,428 578,32 942,4 177,803 696,855 068,56 393,3 540 469,5 735 266,1 165 180,643 772,1 704 086,14 284 318,3 569 237,4 881 694,2 950 732,57 059 227,4 557 136,22 448 467,2 699 769,14 227 786,126 213,1 609 017,1 248 112,3 269 869
Greece,3 344,475 520,516 239,726 775,1 223 150,612 223,259 489,8 797 725,4 916 540,724 655,1 131 179,5 070 596,399 786,2 465 426,2 955 679,68 748,264 002,3 220,1 142 492,1 115 964,388 979,10 436 008,1 936 287,2 050 506,9 957 231,15 497 117,40 148 469,7 811 600,3 361 405,1 177 491,116 912 879,7 229 086,237 584 915,94 415 129,3 996 482,971 528,1 629 702,2 848 444,1 576 083
Spain,1 685 828,4 962 919,2 620 575,9 758 859,5 379 097,1 807 755,3 121 656,43 496 895,24 975 226,2 778 389,11 038 866,35 288 036,3 017 797,13 886 615,10 862 472,999 918,3 929 057,46 426,2 908 051,7 556 032,1 784 683,61 902 256,12 694 915,13 270 415,68 558 900,76 075 099,183 911 419,17 468 430,74 407 340,13 748 092,268 304 838,88 296 567,167 350 835,58 055 778,82 286 404,693 260,5 350 365,12 596 489,21 027 612
