iso,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ALB,39.25629651523494,38.69486737507476,39.582657861088556,40.58217878797548,41.96395422067357,41.3424998875234,40.65639615342034,40.3853117491346,40.347980921421815,40.41583013538339,40.447020489642995,41.21597170562895,40.46522407510777,39.18565807863683,39.03793490334604,39.64968313420995,41.114871798945174,42.390694396210584,42.41204303887947,43.010365730751595,43.411479098628824,43.442783063312596,43.75892960175331,43.971122668769105,43.8911829939379,43.82781836494576,44.20114325594679,44.59914252279343,45.02213317391065,45.45657427183395
AND,80.3018413481516,80.31618065338225,80.25879965846039,80.48572845552177,80.67971750407742,81.01402159465077,81.33681051426727,81.75672082538975,82.1555333735356,82.50689067725403,82.75841055309617,83.06959946283435,83.43636910894224,83.86941141556821,84.24677465071704,84.9039801807338,85.52401128565938,86.33383371732957,86.98523941475344,87.4647277874694,87.94938336493196,88.41042922158245,88.94850335475233,89.37538829034503,89.89128684059207,90.4512413769105,91.15278394770075,91.87935941331685,92.57622447366028,93.29785251951111
AUT,68.7472581478586,68.86256678530287,69.07749126839272,69.29732302553809,69.75650712326119,70.05769701545732,70.20028841464408,70.84597783254526,71.3401884061195,71.94295198269815,73.03595649364925,74.2555335341972,75.11842034698796,76.09266487751952,77.58027523259385,78.63082890470456,79.80019336939091,80.65470078427384,81.56603792229743,82.20581539111319,83.2053935454801,84.00145277813105,84.68979841298237,85.50901246221812,86.38075569952098,87.06824304275068,88.10607450306696,89.29442791304689,90.0133911626586,90.72002270823309
BLR,57.121311095338456,55.85572326320635,54.55785809694411,52.00281396900154,51.2291028381625,49.90128382327041,49.673302512810295,49.06109252497967,48.260424279341116,47.401350557493544,48.21812174187227,46.796935674383114,45.32062674620215,45.70152727118923,46.206177293554596,45.7052757622591,46.651015467463786,48.1234828785948,48.404897114189396,48.7246446810213,48.82953033208888,48.872418089777405,52.02480231025828,52.899818457963775,53.647489389386614,54.757720322597905,55.42968782557001,55.75307493015714,56.55487616432693,57.02634010892418
BEL,43.86668879570077,44.63152559425142,45.22696468182959,45.70826467843792,46.35338656378171,46.8298436983285,47.345997726176165,47.989561433811964,48.38632522400717,48.885070985645854,49.64014088402165,50.57183900182516,51.16810106186803,51.971311122218765,53.39492320671292,54.45896635319393,55.74752903308487,56.581414144639766,57.10961663470285,58.47783798510344,59.748946377888146,60.77017181412106,61.58069974378504,62.5679944488843,63.90997651298298,64.48976760763631,65.51850081011641,65.89339775590494,66.309487572868,66.6480913772255
BIH,31.462223612761104,29.382035711065246,29.20971193478713,28.710823594199823,28.53186702550315,28.605477455445538,29.31226728677403,30.248555471712834,32.23039095053451,33.182138278464905,33.4498142950236,33.18969061700882,33.11641914660488,33.46125578046949,34.15114070969841,33.915879413206405,35.00480812558132,34.6153645529857,36.46865275950423,37.15750925796007,38.01357928966725,38.359955677735904,39.206706257606285,39.55077203164327,39.93923725777901,39.87061201192811,40.717566968339,41.35172000594282,41.729833124667444,42.28475638633507
BGR,37.63618511800505,37.50701400366119,36.23037561447837,34.540902437910304,33.42931526341141,32.99121383255221,32.68071604584425,31.792207946860557,32.139214483337796,32.93893988849267,32.859670204646676,33.18587556283117,33.60802953031038,34.21281683787585,34.96176004390932,35.31317588181295,35.92317331309415,37.064352758965654,38.18708903373856,39.11150894671567,39.889701303932014,40.72966439465426,41.78932657383629,42.74174232181944,42.66535122855507,43.33668886389865,43.790966913830566,44.31344250575959,44.637790585370176,45.15800535236893
HRV,58.34691504325904,58.89846119477986,59.181176215460184,59.2231460805551,59.455307739134554,59.42401386145429,59.15952146574451,58.83294505059915,59.15898382452832,59.449986556717135,60.23288984947097,60.73516652676155,60.951517641416295,61.18831900941265,62.64319670611277,62.88348367714656,63.872448304001914,64.16901209673405,64.7562049132206,66.24095920802581,67.04643996155156,68.03194203855443,68.83361903061903,70.25664247032746,70.80027249622988,70.6744186441224,72.5685914352779,73.02967082320059,73.71298090794775,74.20958687843208
CYP,45.0811518767948,44.29595474825292,43.85593114997619,43.94071277918884,44.6105556376166,45.1841169223904,45.88896396249995,46.3765997645004,46.7118353231069,47.32690905991139,48.30220047256469,49.40945385637959,50.32875850381573,51.273375960935695,52.04280712425432,52.663009279570694,53.386098819047234,54.45528857778865,56.34883732990047,58.02366222462243,59.50997241543148,61.02288448322945,62.311336920086156,63.38150604275457,64.22490656827796,64.97680634239785,66.20836251114991,67.28196030139036,68.03303042099813,68.6182157920711
CZE,51.0062920003625,51.97451431066974,52.36850460830893,53.32356346380619,53.722307242741216,53.97864568949454,54.98499962698755,55.2509789254784,56.41082241941634,56.926422191911016,57.45597833609351,57.916053853705804,59.10734997772313,59.484670550461914,61.08467916119786,62.28403615282774,63.98463086583169,65.08990738332835,66.04578911151293,67.14343199246096,68.14835332502169,68.9289501686266,69.8794763217421,70.8379054510704,72.145230156214,72.7241874231434,73.72940723521683,74.39787054666908,74.71108095947459,75.5207979221686
DNK,72.25910577481419,72.79036179432764,72.99006490469677,73.23338545357869,73.6933284447543,74.36769544046224,75.48041851558574,76.82467522266047,78.22661544570232,78.76424193194886,80.40099139558401,81.01324178293201,81.78902865662944,82.95598646404187,84.36864844967509,85.96325281594486,87.0674542909144,88.3314167875726,89.95347276547588,91.17337932854379,92.57473940357592,94.25067280681634,95.59237245243699,96.82429816265935,98.15027698545687,99.02642388496038,99.39709219265804,99.85800669436273,100.0,100.0
EST,74.88965441660278,73.76174563448889,73.40152015005016,71.46916335425169,69.52813754252013,70.26765891191734,72.68201648474401,72.72442153068056,71.8197371262404,72.90248769739787,73.32937107908303,72.75409806156179,73.39621889363274,74.18547646448252,74.66256352059062,75.39540596271301,75.68658616712382,75.70085867457578,77.4799610181775,78.76859390194181,80.63027925773935,80.81238808422611,81.31852383868141,82.57006664211804,82.7251464782745,83.83603977591932,84.20912445094143,85.0689192878592,85.75323490866741,86.47509819788507
FIN,88.75930584980398,89.44584529912547,89.93216654326757,90.5525118358661,91.57401649085229,92.00726261480861,92.69342728373725,93.32876630917839,94.05917820230353,94.83910581774019,95.67216750873861,96.63318258745105,97.42701626309463,98.32350577588491,99.27910479115833,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
FRA,58.63007943392332,59.28175804967637,60.01150191636311,60.548418199620166,61.23211967087253,61.54584470927973,61.894047228627215,62.54969261750239,62.80079626038195,63.29913840912387,64.06041786785617,64.7529765833369,65.5247071806115,66.45758498161338,68.15514275255047,69.12973942772412,70.30123459434114,71.47482618490845,72.52013855238988,73.53638338182859,74.62628255441966,75.69747632246826,76.64956381140873,77.7605337180586,79.01326151432015,79.58302341446225,80.77458251952851,81.46744463391325,82.34226991076618,83.11378904454573
