iso,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ALB,42.30904367013127,42.09263917228573,42.149316063769646,42.453750166494444,41.3776008703725,44.33901922199008,45.35889238705072,46.229424028409134,47.1605724450373,48.24053725096328,48.92839813517087,49.79581693320297,50.893516149804974,51.796814716482444,52.7525119991187,53.430405755756446,54.02408533959932,54.436894310385206,54.63107642922779,54.98568613904855,55.27561455562174,55.5789917712588,55.91993551399145,56.28658042428481,56.769172947844616,57.35896895230513,57.85688491033917,58.33084902209041,58.95779428615597,59.622157202126566
AND,95.33857089455846,96.16892647320306,96.73537081130566,97.20835683130767,97.60293384593103,98.03389233455815,98.50140942371466,99.08113690831141,99.67445064912782,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
AUT,80.72255251558047,80.88406148035247,81.02478650051907,81.29323498996513,81.66548001513065,81.92130186834005,82.12291358302038,82.3323072977581,82.44009365354408,82.471578253096,82.52733387494085,82.54834857401468,82.77593255692565,82.84761721932561,82.99474877091197,83.22007541465882,83.49027889505078,83.7102365541695,83.96317502104625,84.17367785866138,84.46072307230298,84.82469597470693,85.11804333071392,85.35909730828817,85.56585732305655,85.62220958499985,85.54900034156091,85.6633362832968,86.21097265648326,86.66912102946746
BLR,49.279100457712524,49.65677134651917,50.01497242733441,50.377238500635215,50.4470327401939,50.678218433236246,51.06220838889667,51.279097871509535,51.41601617904931,51.75690616026547,52.50451076396022,53.08573121520258,54.085658944209115,54.869488419084355,55.639658165397954,56.31582819409344,56.85290315673473,57.36827542767833,57.867023629029944,58.14638720981109,58.3817383474797,58.65911465128577,58.86316765142246,59.078459243763724,59.33739655688021,59.602871452867,59.749283125582345,59.89057269713165,60.080516369703986,60.21921450369121
BEL,82.52525067519176,83.38239717266323,84.21986586105444,85.05399418270144,85.84394969707726,86.43147331544827,86.9725031092724,87.31581657677322,87.48232881550607,87.58092711366764,87.60562502507285,87.77550973861572,88.75528633279924,88.50962611834822,88.45017915824522,88.46619614277186,88.63512436645297,88.81680450444846,88.97599736778042,89.23963036470543,89.69780946095905,90.30256362389835,90.98004879060248,91.5396760953736,92.16722765938265,92.46814528681632,92.79748628458137,93.16265001552101,93.76150168220103,94.54033493893502
BIH,46.719170311983056,46.8981945492003,46.831739472343294,46.75543487009801,46.76740995577762,46.899516493033836,47.926459427985314,49.54354687541639,51.2367072387887,52.7592202924704,54.0225567250194,55.24606207582347,56.45982672759663,57.5705636592761,58.282987208657175,58.9545114239865,59.59183837776496,60.357462446885656,61.12355923333938,61.89013893045866,62.73189543049722,63.46068300729398,63.96624538124291,64.53502556788563,65.11041987722163,65.58932225156333,65.94646548823646,66.40422621608715,67.0359089186123,67.76875611655416
BGR,73.09947564545215,74.23911855054142,75.36878578366614,76.42159448164392,77.61598225554079,78.83185538967479,78.88779995386167,78.53855142275911,78.01963867598998,77.38380821494434,77.09454488426844,77.41070091469892,77.33385565263063,77.51322652044588,77.68385851357415,77.88823882543197,78.11512181879633,78.42990907291646,78.69989253239696,79.2949417575711,79.92604813643275,80.37623598325531,80.7304503348569,80.98454587067575,81.2970689887531,82.00044714143282,82.42053804410571,82.82954675674559,83.39975051261055,83.99680621267862
HRV,65.28751001879807,66.0111073016901,66.51827043605536,66.86131051003996,67.11441000252245,67.41136735439353,67.85319906926934,68.46608157805191,69.31670835158337,70.0806366985298,70.88594042227773,71.7629325960705,72.62823636689906,73.47270683735653,74.07281117679709,74.6406915613132,75.22728923977627,75.82913405330095,76.44955183138755,77.02059244645021,77.47196574345617,77.87346607327011,78.32403107657878,78.64564849418986,78.91228991066772,79.20371084904065,79.48836978499901,79.94481518126868,80.35084575905933,80.7038297572574
CYP,73.09912958137477,72.68273752352479,73.85208866937415,76.11419020459056,78.48710834894064,79.99980027947909,80.77266992323075,82.04140493347231,83.52266049522163,84.95415799903786,86.33706099581168,87.7354514425071,89.91677927719454,90.85404358864923,91.55670123877138,92.2720630310973,93.0639007620239,93.73472346625061,94.31135993697248,94.74625195488719,95.155883604242,95.43298682392023,95.64736573520703,95.89908841570994,96.0821387472386,96.16886717631373,96.29735635740865,96.57131780563788,96.94935827650096,97.4294924162989
CZE,77.98875526490147,79.17189133321071,80.0201201227199,82.06471855243362,84.46616366099119,86.2949781063834,87.42666528894301,88.20837892945387,88.98919780703615,89.77570741822927,90.55930722370103,91.27487189279263,91.9156565478535,91.98254285555237,92.07419228664727,92.13342569989928,92.1783878828799,92.1622276555354,92.1169804957589,92.06147645852852,91.97457095312738,91.796295894571,91.65169666994807,91.56983030505872,91.45636180931564,91.39348663878606,91.58531246433294,92.0972985640975,92.7977530532817,93.47768718035502
DNK,88.76412026089245,89.62458822140725,90.38081228237704,91.11594958670813,91.79648619943244,92.49995301196843,93.21932115867956,93.90946926035649,94.46996601535874,94.78178806904735,95.1692423612626,95.48933579595838,96.49646929425155,96.55545158195194,96.6184247272979,96.60319862465529,96.56005989157647,96.4546049557841,96.49652516267624,96.44977443613669,96.54040611794869,96.84353680299878,97.22395090871558,97.62284235157995,98.01276050978849,98.40707310246256,98.75560052998867,99.13690063848975,99.53611701223845,99.9397553484323
EST,55.33555403637881,56.1073832009817,56.82514486351191,57.58246160727285,58.47128137299499,58.74615258623778,59.25500152239859,59.52930655796585,59.929146792525614,60.441190447174264,61.15892660122005,61.57677527163051,61.83581689897684,62.241400484175514,62.68425836255997,62.91802703985269,63.09939068316701,63.244365789119215,63.59720746683567,63.7204310990915,63.85167289099216,64.31699876334956,64.55161002846516,64.84383788621241,65.14964655663084,65.3859715929554,65.42690502322507,65.50463217778508,65.79712474158099,66.10686445798922
FIN,85.52761997276211,86.18760530113782,86.88326072886836,87.76660723047243,88.8504843466944,89.74462520867117,90.32098069863994,91.19435079696494,91.8967292502409,92.62847109995222,93.46914980422162,94.2724382062526,95.81572844262074,96.21686690538367,96.74343915401829,97.08512728772877,97.44735544534639,97.69604698327797,98.13148202105316,98.58540973476005,99.20225530352687,99.85773006701929,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
FRA,82.70843128497216,83.38169082629955,84.22190230881,84.9061865929178,85.52555742079113,86.22683223105092,86.86834283826104,87.55626213637355,88.03692250626615,88.48813251142363,88.76748590516183,89.36797484660971,90.97480027247164,91.28929144804555,91.85461249362334,92.30665224679106,92.77285677388295,93.27414398852332,93.66503344206554,94.2092453646835,94.95481080079425,96.07744018336275,96.81253443509567,97.56089479945425,98.26028121554762,98.67505632596352,99.0122428078286,99.35703019313524,99.7392239670216,100.0
DEU,92.81689849317,94.27691612883307,95.10675879385953,95.89835762373284,96.66552847419985,97.21583133261149,97.62175116651997,97.8265342874995,97.95738220396453,98.3368932565035,98.69383352272695,99.00358054751602,100.0,99.8595716335285,99.73562058105274,99.65954283281896,99.60426264249847,99.54334777325118,99.55869416249323,99.55308855102,99.6867099529331,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
