iso,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ALB,39.72473295013117,39.643142194761374,39.804213314391006,40.22652665585623,39.229584530227775,42.19330333548593,43.10837532813674,43.847561095787675,44.55540011279558,45.17923935633931,45.573163358376014,45.94995250736608,46.40153174618967,46.766515278638884,47.12005287217282,47.4543184552137,47.90975002096406,48.301853717757474,48.60246750722397,48.90083021674736,49.16749476201744,49.192403208187066,49.219869157655324,49.22289974915285,49.38625635347528,49.568307959352104,49.67655129077144,49.786059734288976,50.03679551749851,50.339177086238564
AND,96.30819122189469,96.61104813362364,97.23398815152177,97.8609182314012,98.46132966879088,99.1200488069298,99.78577261637245,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
AUT,81.3515158296151,81.93092046536134,83.54208879003116,85.44677896528798,87.57884202967313,89.78085793070836,92.03598855442485,94.30934070214671,96.47029148700959,98.48223415689573,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
BLR,49.70002990839163,49.92926934683599,50.12180595849465,50.31093779806365,50.23393093207604,50.34534707857175,50.634271387139066,50.75850679414541,50.80563265425791,51.072878380171474,51.94665014554848,52.645304337146015,53.76861317558914,54.676562160711676,55.57298807955316,56.38044859240411,57.19824479755557,57.938769503554525,58.68060768300328,59.24406237269574,59.774018212712434,59.81948814325061,59.804677281425555,59.8680393907708,60.051339331173196,60.25814745286988,60.36696927016196,60.47736519696261,60.63702303774685,60.74929181169458
BEL,86.15209274019118,86.51608725809882,87.31107620153851,88.12546377448461,88.95362667125882,89.64698755145348,90.31864440722953,90.74508627344771,91.03210158632945,91.27915636382694,91.39849080689238,91.5850893949951,91.18946958955857,90.72510604001816,90.427503343718,90.20402264637293,90.1589855142969,90.14259875351817,90.06963356086514,90.10499530914907,90.28241303447953,90.56586184158773,90.9255993200217,91.11093768036655,91.45152522025478,91.58270699244152,91.81122543997961,92.05137645098274,92.46470859122225,93.04714521614844
BIH,45.33836516556084,45.485632946715526,45.453377226297256,45.46466150690148,45.52145285854329,45.67240383746893,46.47052419025334,47.56648598626015,48.64150023133463,49.565762046209095,50.28527484970128,51.00540974036682,51.60060068890798,52.13689483051629,52.51856658966384,52.70694459583011,53.06478524439087,53.59018629328713,54.12317662517654,54.67114514890693,55.261033043154065,55.42320528974989,55.460073753813155,55.517978637342694,55.82871351993622,56.05675060277385,56.16878921332802,56.39655327286054,56.77784183247987,57.271015281500745
BGR,49.02398300529416,49.16001934504306,49.56596991199803,50.0630939610215,50.30587707424403,51.058409192020214,51.35197151994094,51.324969594383994,51.735220108100386,52.00135322889845,52.201769810483654,52.82576083534295,53.03073281989935,53.44449012472836,53.64782788963684,53.848577212796755,54.23966958399239,54.71513743178997,55.14145549329954,55.717428496997044,56.280065699617246,56.45599359940918,56.43999614205414,56.333117933230845,56.48597664407059,56.98259411211774,57.182453470929076,57.33431376344002,57.62792720510495,57.964998601649995
HRV,54.60562181435991,54.90936156361273,55.120343620189786,55.318592025624994,55.53265494686417,55.80410923287204,56.16869962699161,56.508736064995645,57.007507072941486,57.44144515521001,57.866009668355424,58.35669981677943,58.84668675033541,59.32404427256339,59.65791025825807,59.93583065789211,60.496970742551134,61.051090951490316,61.591022427918574,62.11170284475749,62.5190018649176,62.495452567473166,62.48922851825219,62.34704308613279,62.43764013716381,62.5533304245208,62.66897253779541,62.95134008212834,63.15187520572054,63.291686295510175
CYP,79.02416881218011,78.57636413744333,79.63842497041304,81.39910646719474,83.21012850986251,84.47203609434888,85.32574708892449,86.42745931110261,87.57505249831152,88.60117230330835,89.49720934648994,90.27583642526957,90.51319091092529,90.66951113270873,90.71811861686649,90.73865349711714,90.79852996438264,90.84610217484172,90.87784631194259,90.88749374706052,90.86662347059512,90.80396109812875,90.79135959528949,90.69941551657388,90.66516019208261,90.67864348388565,90.80468644678496,91.07221578357253,91.35553580983733,91.73526020325492
CZE,57.80002132511719,58.44359955474911,58.90470267041553,59.93126276893697,61.11759748734424,62.06403151349591,62.69447685351703,63.11946249503452,63.56153936558564,63.99384192432622,64.41327151940726,64.77467776842988,65.05600301585943,65.02559796448162,64.98808164417683,64.91449599896738,65.14056089223918,65.29197025451158,65.39268876756962,65.4872667693846,65.50322458647045,65.00106143078305,64.49232592326256,64.05525901023415,63.92455746253128,63.834603635114874,63.89182792375346,64.18411046258078,64.67443481100712,65.15226913610924
DNK,89.79429477177881,90.15871754992226,90.86820049265154,91.60986570947152,92.32947005928544,93.03471562454784,93.73563612925237,94.3894141768723,94.94053993337408,95.24173501467703,95.60226143578038,95.87061038545342,95.46461719064742,95.24786658426628,95.056277530373,94.84551479480142,94.61734067794791,94.38523996991846,94.28719225512542,94.08413303947579,93.96137941249835,94.04050311071074,94.25130621377166,94.41545076537885,94.63209834568809,94.91963884116586,95.15911604912579,95.38810382881456,95.61134400385308,95.83848225465741
EST,53.687854568241825,54.29423948363663,54.66899704176058,55.107868267239255,55.709789339094826,55.82436069033098,56.25971251067765,56.30694247307698,56.489202260830766,56.63346798713592,57.11067055771486,57.45382050733251,57.524918177148145,57.73427515667747,58.00234875716483,58.05098034324744,58.20884061400715,58.21561189318247,58.429038319757545,58.509836041331006,58.62989698108233,58.74470960872238,58.70224068502996,58.70878177029787,58.815567581122544,58.8714361823799,58.813997747484194,58.8236314462161,58.98379656697994,59.15328932853989
FIN,89.52782963445354,89.82934332594618,90.67506972384031,91.69265857517199,92.85450243619432,93.89013273207686,94.71028148431103,95.78662414257238,96.7001463491578,97.62640596022999,98.56725264775793,99.42726654101726,99.55907412068082,99.70351279282318,99.98799579761774,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
FRA,81.03245488600739,81.35179899965475,81.8840924908798,82.37126432434732,82.93207968103837,83.56695703897005,84.13079716353324,84.81057285110388,85.36934258191914,86.03079438212343,86.5846531004235,87.48656487636288,87.85917262452993,87.95684940475293,88.30841072736263,88.55555746992552,88.79522360213207,89.08396596207612,89.29183569978409,89.67251853851681,90.22213614348448,91.12427167366755,91.65812352758913,92.17090806228754,92.63222098788285,92.87638729468914,93.1164167974321,93.35855114681249,93.58061818065359,93.79133971427746
DEU,93.45948596098725,94.10695970573,94.8910408253478,95.70100751441308,96.52846499092921,97.24748079456991,97.85140761593544,98.31724734143324,98.70703844152615,99.15956643520461,99.52642844861755,99.82589055152604,99.50765745588781,99.08564287767496,98.70843311317626,98.3815783700556,98.0636815125717,97.73967273073293,97.46830113806976,97.27362749549319,97.19937108810865,97.28877790629448,97.41016000673154,97.40423665356207,97.53540075278205,97.5397909617973,97.7490090124941,98.09142111081009,98.32707902381578,98.57250389811185
GRC,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
HUN,51.867967710864214,52.39888958409512,53.138387978063996,53.840552753087934,54.49542265753481,55.23992465818727,55.927485504146404,56.515143466676,57.08940793868385,57.65395744375178,58.34356501689928,58.943099679207286,59.078198111038226,59.314772742729986,59.436346065970916,59.50797029490285,59.90728688854392,60.223480526033114,60.515839310627584,60.69790603515748,60.76982548698552,60.2495589194241,59.66389937648121,59.153914978538715,59.07473756220024,59.04670918553152,59.30771727398289,59.584553607259636,60.081004503071945,60.618037707784175
SMR,96.26951797540664,96.62030599103988,97.39999653072988,98.25238301922221,99.15814805617606,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
ROU,39.54947774929779,40.60350486880485,40.81364199049406,40.74737425171014,40.81300874565548,41.75328278438858,41.812818980835395,42.28880043040266,42.96027478722317,43.887093186661446,44.42047492008777,45.48351388027654,46.57135867915401,47.53093965565978,48.34950576025542,49.328017599233135,50.33864663125268,51.50309751806581,52.279948590737234,53.110238216224474,53.818563643547876,54.08751192371618,54.35637349174932,54.5157374642261,54.83974451459217,55.071096662678265,55.199177265876486,55.34577754261739,55.48413300026085,55.446475657243056
