iso,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ALB,41.27531938213123,41.11284038127599,41.21127496401819,41.56286076223917,40.51839433431461,43.48073286738842,44.45868556348513,45.27667885536056,46.11850351214062,47.016018093113686,47.58630422445293,48.257471162868214,49.096722388358856,49.78469494134502,50.49952834834035,51.03997083553935,51.578351212145215,51.98287807333411,52.21963286042626,52.55174377012807,52.83236663818002,53.0243563460301,53.239908971457,53.46110815423202,53.81600631009688,54.24270455512392,54.584751462512074,54.91293330696984,55.38939477869299,55.90896515577137
AND,95.72641902549294,96.34577513737129,96.93481774739209,97.46938139134508,97.94629217507497,98.46835492350681,99.01515470077777,99.44868214498683,99.80467038947668,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
AUT,80.97413784119433,81.30280507435603,82.03170741632391,82.95465258009426,84.03082482094764,85.06512429328738,86.08814357158217,87.12312065951355,88.0521727869303,88.8758406146159,89.51640032496451,89.5290091444088,89.66555953415539,89.70857033159537,89.79684926254717,89.93204524879529,90.09416733703046,90.22614193250169,90.37790501262775,90.50420671519683,90.67643384338179,90.89481758482415,91.07082599842835,91.21545838497289,91.33951439383392,91.37332575099991,91.32940020493655,91.39800176997808,91.72658359388996,92.00147261768048
BLR,49.44747223798417,49.765770546645896,50.0577058397985,50.35071821960659,50.36179201694675,50.545069891370446,50.89103358819363,51.07086144056389,51.171862769132744,51.48329504822787,52.281366516595526,52.90956046397996,53.95884063676113,54.792317915735296,55.61299013106004,56.34167635341771,56.99103981306307,57.596473058028806,58.19245725061927,58.585457274964945,58.93865029357279,59.123264048071704,59.239771503423704,59.39429130256656,59.62297366659741,59.86498185286815,59.99635758341419,60.125289697064034,60.30311903692113,60.43124542689256
BEL,83.97598750119153,84.63587320683746,85.45634999724807,86.28258201941472,87.08782048674988,87.71767900985034,88.31095962845524,88.68752445544303,88.90223792383543,89.06021881373135,89.12277133780066,89.29934160116747,89.72895963550297,89.39581808701621,89.24110883243434,89.16132674421229,89.24466882559054,89.34712220407634,89.41345184501431,89.58577634248289,89.93165089036724,90.40788291097411,90.95826900237017,91.36818072937078,91.88094668373151,92.1139699690664,92.40298194674065,92.71814058970568,93.24278444580952,93.94305904982039
BIH,46.16684825341417,46.333169908206386,46.28039457392488,46.2391255248194,46.26902711688389,46.40867143080788,47.344085332892526,48.75272251975389,50.198624435807076,51.48183699396588,52.52764397489215,53.54980114164081,54.51613631212117,55.39709612777217,55.97721896105985,56.45548469272394,56.98101712441532,57.65055198544624,58.323406190074245,59.002541417837975,59.74355047555996,60.24569192027634,60.563776730271016,60.92820679566845,61.397737334307465,61.77629359204754,62.03539497827308,62.401157038796505,62.932682084159325,63.569659782532796
BGR,63.46927858938895,64.20747886834208,65.04765943499889,65.87819427339495,66.69194018302208,67.72247691061295,67.87346858029338,67.65311869140908,67.50587124883415,67.23082622052598,67.13743485475453,67.57672488295654,67.61260651953812,67.88573196215887,68.06944626399923,68.27237418037788,68.56494092487475,68.94400041646585,69.276517716758,69.86393645334147,70.46765516170655,70.80813902971687,71.0142686577358,71.12397469569778,71.3726320508801,71.99330592970679,72.32530421483506,72.63145355942336,73.09102118960831,73.58408316826717
HRV,61.014754737022805,61.57040900645916,61.959099709709136,62.24422311627397,62.48170798025914,62.768464105784936,63.17939929235824,63.683143372829406,64.39302784012662,65.02496008120188,65.67796812070881,66.40043948435408,67.11561652027359,67.81324181143927,68.30685080938149,68.75874719994476,69.33516184088622,69.91791681257669,70.50614006999996,71.05703660577312,71.49078019204075,71.72226067095133,71.99011005324815,72.12620633096702,72.32243000126616,72.5435586792327,72.76061088611758,73.14742514161254,73.47125753772382,73.73897237255851
CYP,75.46914527369691,75.0401881690922,76.1666231897897,78.22815670963223,80.37631641330938,81.788694605427,82.59390078950824,83.79582668452443,85.14361729645759,86.41296372074605,87.60112033608299,88.75160543561208,90.15534393068683,90.78023060627302,91.22126819000943,91.65869921750524,92.15775244296739,92.57927494968705,92.93795448696054,93.20274867175652,93.44017955078326,93.58137653360365,93.70496327924002,93.81921925605552,93.9153473251762,93.97277769934249,94.10028839315916,94.37167699681174,94.71182928983549,95.15179953108131
CZE,69.91326168898776,70.88057462182607,71.57395314179816,73.21133623903495,75.12673719153241,76.60259946922841,77.53378991477263,78.17281235568613,78.81813443045594,79.46296122066805,80.10089294198352,80.67479424304754,81.17179513505587,81.19976489912406,81.2397480296591,81.24585381952652,81.36325708662362,81.41412469512588,81.42726380448319,81.43179258287095,81.38603240646461,81.07820210905582,80.78794837127387,80.56400178712889,80.4436400706019,80.3699334373176,80.50791864810115,80.93202332349081,81.54842575637187,82.1475199626567
DNK,89.176190065247,89.83823995281325,90.57576756648683,91.31351603581348,92.00967974337364,92.71385805700021,93.42584714690868,94.1014472269628,94.65819558256487,94.96576684729924,95.34244999106971,95.6418456317564,96.08372845280991,96.03241758287767,95.99356584852794,95.90012509271374,95.78297220612507,95.62685896143785,95.61279199965591,95.50351787747232,95.50879543576855,95.72232332608357,96.034893030738,96.3398857170995,96.66049564414831,97.01209939794387,97.31700673764352,97.63738191461968,97.96620780888429,98.29924611092234
EST,54.67647424912401,55.382125714043674,55.96268573481137,56.59262427125941,57.36668455943492,57.57743582787505,58.05688591771021,58.240360924010304,58.55316897984767,58.91810146315892,59.53962418381798,59.927593365911314,60.111457410245364,60.438550353176296,60.811494520401915,60.971208361210586,61.14317065550306,61.23286423074452,61.529939808004414,61.63619307598731,61.76296252702823,62.08808310149868,62.21186229109108,62.38981543984659,62.61601496642753,62.780157428725204,62.781742112928725,62.83223188515749,63.07179347174057,63.32543440620948
FIN,87.12770383743867,87.64430051106118,88.39998432685715,89.33702776835227,90.45209158249438,91.40282821803345,92.07670101290839,93.03126013520792,93.81809608980765,94.62764504406334,95.50839094163615,96.33436954015846,97.31306671384476,97.61152526035949,98.04126181145807,98.25107637263726,98.46841326720784,98.61762818996678,98.87888921263189,99.15124584085602,99.52135318211613,99.91463804021157,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
FRA,82.03804072538625,82.56973409564162,83.28677838163793,83.89221768548961,84.48816632489003,85.16288215421858,85.77332456836993,86.45798642226569,86.96989053652734,87.50519725970355,87.8943527832665,88.61541085851098,89.72854921329497,89.95631463072851,90.43613178711905,90.80621433604485,91.1818035051826,91.59807277794445,91.91575434515295,92.39455463421683,93.06174093787033,94.09617277948468,94.75077007209306,95.40490010458757,96.0090571244817,96.35558871345377,96.65391240366999,96.95763857460614,97.2757816524744,97.516535885711
DEU,93.07393348029689,94.20893355959186,95.02047160645483,95.81941758000494,96.61070308089158,97.22849111739487,97.71361374628616,98.022819509073,98.25724469898918,98.66596252798394,99.0268714930832,99.33250454912003,99.80306298235513,99.55000013118709,99.32474559390215,99.14835704771362,98.98803019052778,98.82187775624388,98.72253695272386,98.64130412880928,98.69177440700332,98.91551116251779,98.96406400269262,98.96169466142484,99.01416030111281,99.01591638471892,99.09960360499764,99.23656844432404,99.33083160952631,99.42900155924474
GRC,85.88933653858491,86.58691673493084,87.38436304295524,88.11103260143189,88.82775669053305,89.5602228070072,90.2755461910699,90.9742824638568,91.70580037303353,92.42275873520711,93.0725942704344,93.6558340422832,94.02752528225085,94.40198393299377,94.76077187962866,95.04590516537965,95.34000203281353,95.6027093994939,95.86196670806963,96.12561797049838,96.39459240895218,96.6120028599608,96.77715590679303,96.84003571201669,96.8132865506214,96.7671494664327,96.6907779838069,96.8024705485662,97.00803380203311,97.26439581986094
HUN,51.45675557561319,52.00414651588339,52.81805892103648,53.576235046983484,54.28117871800971,55.116850687633864,55.87849442107004,56.53336709645904,57.17399582703467,57.79802142420351,58.62236692224817,59.293561727059284,59.5991247636247,60.031009903627826,60.3736884170179,60.66789262386881,61.077266537393704,61.40114707064943,61.70588162307161,61.89853290637132,61.99177174898866,61.717149760399494,61.346003927056884,61.08299752838619,61.064615051230454,61.08182676863677,61.425076929571105,61.8146385678224,62.41608954825109,63.047556830361025
SMR,95.21177048571339,95.83228530711378,96.551512047279,97.33147222713784,98.15990607874224,98.98767304376925,99.49367395597076,99.98729706184146,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
